brand,board_type,raw_category,target_key,model,_source_url,_table_index,Form factor,Format,Cooling method,Mounting,Connectors,LED indicators,Switches,Dimensions,Weight,Standard,Link width,Link speed,Maximum payload size,DMA,Peak delivery bandwidth,Effective (sustained) delivery bandwidth,PCI Express slot power rating,Power consumption,Camera interface standard,Interface standard(s),Maximum link speed,Maximum link width,Status LEDs,Number of cameras,Maximum number of cameras,Line-scan cameras supported,Maximum aggregated camera data transfer rate,Supported CXP down-connection speeds,Supported CXP up-connection speeds,Number of CXP data streams (per camera),Maximum CXP stream packet size,Camera types,Camera pixel formats supported,Trigger,Strobe,Scan/page trigger,Line trigger,Line strobe,On-board memory,Image data stream processing,Data stream statistics,Number of lines,Usage,Electrical specifications,Filter control,Polarity control,Power output,I/O Toolbox tools,I/O Toolbox composition,Description,Specification,Driver name,First release,Current release,Host PC Operating System,APIs,Memento supported,Operating ambient air temperature,Operating ambient air humidity,Storage ambient air temperature,Storage ambient air humidity,EMC standards,EMC - Emission,EMC - Immunity,KC Certification,Flammability,RoHS,WEEE,Product status,Product code - Description,Related products,Camera powering,PoCXP (Power over CoaXPress),Flat-field correction,Input LUT (Lookup Table),Geometrical operators,Bayer CFA to RGB decoder,Event signaling and counting,REACH,Included accessories,CustomLogic,CustomLogic firmware variants,Pixel binning,Housing,Interface standard,Maximum data rate,Supply voltage,Power connector,On-board video compression,Video encoders,Last release,ECCO - Extended Camera Link Cable Operation,Camera Link configuration,Camera Link clock frequency,PoCL (Power over Camera Link),Raw video format(s),Termination resistor,Number of cameras (at full frame rate),A/D converter,Maximum camera line rate,Formats and standards (HD),Formats and standards (SD),Deliverable video resolution (HD),Deliverable video resolution (SD),Loop-through,Number of inputs,Type,Audio format,Processor,System memory,Graphic card,Native resolution,Frame rate,Watchdog
Euresys,coaxpress,Frame Grabbers (Coaxlink/Grablink/Domino/Picolo - all),euresys_frame_grabbers,Coaxlink QSFP28,https://www.euresys.com/en/products/frame-grabber/coaxlink-qsfp28/,dl_specs,PCI Express card,"Standard profile, half length, 8-lane PCI Express card","Air cooling, fan-cooled heatsink","For insertion in a standard height, 8-lane or higher, PCI Express card slot",QSFP+ 28Gb/s 4X Pluggable Transceiver (QSFP28) port | Compliant with CoaXPress-over-Fiber | Available power for the module: 5 W (SFF-8436 Power class 7),"'A', 'B', 'C', 'D' on bracket: |   - Bi-color red/green LEDs |   - CoaXPress Host connector indicator | 'FPGA STATUS LAMP' on PCB: |   - Bi-color red/green LED |   - FPGA status indicator | 'BOARD STATUS LAMP' on PCB: |   - Bi-color red/green LED |   - Board status indicator",'RECOVERY' on PCB: | 2-way DIP switch | Firmware emergency recovery,PCB L x H: 167.65 mm x 111.15 mm [6.6 in x 4.38 in],Net weight: 210 g [7.4 oz] | Gross weight: 310 g [10.9 oz],PCI Express 4.0,"8 lanes | 1 lane, 2 lanes or 4 lanes with reduced performance",16.0 GT/s (PCIe 4.0),512 bytes,32- and 64-bit,"15,700 MB/s","13,500 MB/s (Host PC motherboard dependent)",75 W,"Typ. 30.64 W ( 0.04 W @ +3.3V, 30.6 W @ +12V), excluding I/O power output and optical transceiver module",CoaXPress,"CoaXPress 1.0, 1.1, 1.1.1, 2.0, 2.1, CoaXPress-over-Fiber Bridge Protocol 1.1",CXP-31,4 connections,One CoaXPress Host connection status LED per connection,Area-scan cameras: |   - One 1- or 2- or 4-connection camera | Line-scan cameras: |   - One 1- or 2- or 4-connection camera,1,Yes,"100 Gbps (12,500 MB/s)",25 Gbps (CXP-31),Low-speed 20.83... Mbps (Device discovery) | Low-speed 41.66... Mbps (CXP-31),1 data stream per camera,"16,384 bytes","Area-scan cameras: |   - Grayscale and color (YCbCr, YUV, RGB and Bayer CFA) |   - Single-tap (1X-1Y) progressive-scan |   - Two-tap (1X-2YE) on two distinct data streams | Line-scan cameras and contact imaging sensors: |   - Grayscale and color RGB","Mono8, Mono10, Mono12, Mono14, Mono16 | BayerXX8, BayerXX10, BayerXX12, BayerXX14, BayerXX16 where XX = GR, RG, GB, or BG | RGB8, RGB10, RGB12, RGB14, RGB16 | RGBA8, RGBA10, RGBA12, RGBA14, RGBA16 | YCbCr601_422_8, YCbCr601_422_10 | YCbCr709_422_8, YCbCr709_422_10 | YUV422_8, YUV422_10 | Raw","Precise control of asynchronous reset cameras, with exposure control. | Support of camera exposure/readout overlap. | Support of external hardware trigger, with optional delay and trigger decimation.",Accurate control of the strobe position for strobed light sources. | Support of early and late strobe pulses.,"Precise control of start-of-scan and end-of-scan triggers. | Support of external hardware trigger, with optional delay. | Support of infinite acquisition, without missing line, for web inspection applications.","Support for quadrature motion encoders, with programmable noise filters, selection of acquisition direction and backward motion compensation. | Rate Converter tool for fine control of the pixel aspect ratio: Rate Conversion Ratio in the range 0.001 to 1000 with an accuracy better than 0.1%. | Rate Divider tool",Accurate control of the strobe position for strobed light sources.,8 GB,Unpacking of 10-/12-/14-bit to 16-bit with selectable justification to LSb or MSb | Optional swap of R and B components | Little endian conversion,Measurement of: |   - Frame rate (Area-scan only) |   - Line rate |   - Data rate | Configurable averaging interval,20 I/O lines: | 4 differential inputs (DIN) | 4 singled-ended TTL inputs/outputs (TTLIO) | 8 isolated inputs (IIN) | 4 isolated outputs (IOUT) | NOTE: The number of I/O lines can be extended using I/O modules attached to the I/O EXTENSION connector.,Any I/O input lines can be used by any LIN tool of the I/O Toolbox | Selected pairs of I/O input lines can be used by any QDC tool of the I/O toolbox to decode A/B signals of a motion encoder,"DIN: High-speed differential inputs, up to 5 MHz, compatible with ANSI/EIA/TIA-422/485 differential line drivers and complementary TTL drivers | TTLIO: High-speed 5V-compliant TTL inputs or LVTTL outputs, compatible with totem-pole LVTTL, TTL, 5V CMOS drivers or LVTTL, TTL, 3V CMOS receivers | IIN: 200 kHz isolated current-sense input with wide voltage input range up to 30V, compatible with totem-pole (push-pull) HTL drivers, 5V TTL/RS-422 differential line drivers, 5V CMOS drivers, potential free contacts, solid-state relays and optocouplers | IOUT: Isolated contact outputs compatible with 30V / 100mA loads | NOTE: IIN and IOUT lines provide a functional isolation grade for the circuit technical protection. It does not provide an isolation that can protect a human being from electrical shock!","Glitch removal filter available on all System I/O input lines | Configurable filter delay: |   - Custom value |   - Fixed values for DIN and TTLIO lines: 50 ns, 100 ns, 200 ns, 500 ns, 1 µs |   - Fixed values for IIN lines: 500 ns, 1 µs, 2 µs, 5 µs, 10 µs",Yes,"Non-isolated, +12V, 1A, with electronic fuse protection","The I/O Toolbox is a configurable interconnection of tools that generates events (usually triggers): | Line Input tool (LIN): edge detector delivering events on rising or falling edges of any selected input line. | Quadrature Decoder tool (QDC): a composite tool including: |   - A quadrature edge detector delivering events on selected transitions of selected pairs of input lines. |   - An optional backward motion compensator for clean line-scan image acquisition when the motion is unstable. |   - A 32-bit up/down counter for delivering a position value. | Device Link Trigger tool (DLT): delivers an event on reception of a valid high-speed CoaXPress 2.0 connection trigger packet message from the remote device. | User Actions Scheduler tool (UAS): to delegate the execution of 'User Actions' at a scheduled time or encoder position. Possible user actions include setting low/high/toggle any bit of the User Output Register or generation of any User Events. | Delay tool (DEL): to delay up to 16 events from one or two I/O toolbox event sources, by a programmable time or number of motion encoder ticks (any QDC events). | Divider tool (DIV): to generate an event every nth input events from any I/O toolbox event source. | Multiplier/divider tool (MDV): to generate m events every d input events from any I/O toolbox event source. | The 'Input Tools' (LIN, QDC, DLT and UAS) can be further processed by the 'Event Tools' (DEL, DIV and MDV) to generate any of the following ""trigger"" events: |   - The ""cycle trigger"" of the Camera and Illumination controller |   - The ""cycle sequence trigger"" of the Camera and Illumination controller |   - The ""start-of-scan trigger"" of the Acquisition Controller (line-scan only) |   - The ""end-of-scan trigger"" of the Acquisition Controller (line-scan only)","Determined by the selected firmware variant: | '1-camera': 8 LIN, 1 QDC, 2 DLT, 1 UAS, 2 DEL, 1 DIV, 1 MDV, 2 C2C | '1-camera, line-scan': 8 LIN, 1 QDC, 2 DLT, 1 UAS, 2 DEL, 1 DIV, 1 MDV, 3 C2C","Accurate synchronization of the trigger and the start-of-exposure of multiple grabber-controlled area-scan cameras. | Accurate synchronization of the start-of-cycle, start-of-scan and end-of-scan of multiple grabber-controlled line-scan cameras.","C2C-Link synchronizes cameras connected to: |   - the same card |   - to different cards in the same PC (requires an accessory cable such as the ""3303 C2C-Link Ribbon Cable"" or a custom-made C2C-Link cable) |   - to different cards in different PCs (requires one ""1636 InterPC C2C-Link Adapter"" for each PC and one RJ 45 CAT 5 STP straight LAN cable for each adapter but the last one) | Maximum distance: |   - 120 cm inside a PC |   - 1200 m cumulated adapter to adapter cable length | Maximum trigger rate: |   - 2.5 MHz for configurations using a single PC, or up to 10 PCs and 100 m total C2C-Link cable length |   - 200 kHz for configurations up to 32 PCs and 1200m total C2C-Link cable length | Trigger propagation delay from master to slave devices: |   - Less than 10 ns for cameras on the same card or on different cards in the same PC |   - Less than 265 ns for cameras on different cards in different PCs (3 PCs and 40m total C2C-Link cable length)",eGrabber,eGrabber 25.10,eGrabber 26.05,"Microsoft Windows 11, 10 for x86-64 (64-bit) processor architecture | Linux for x86-64 (64-bit) and AArch64 (64-bit) processor architectures | macOS for x86-64 (64-bit) and AArch64 (64-bit) processor architectures","EGrabber class, with C++ and .NET APIs: .NET assembly designed to be used with development environments compatible with .NET frameworks version 4.6 or higher | GenICam GenTL producer libraries compatible with C/C++ compilers: |   - 'x86_64' dynamic library designed to be used with ISO-compliant C/C++ compilers for the development of x86-64 (64-bit) applications |   - 'aarch64' dynamic library designed to be used with ISO-compliant C/C++ compilers for the development of AArch64 (64-bit) applications",Yes,0°C to +55°C / +32°F to +131°F,10% to 90% RH non-condensing,-20°C to +70°C/ -4°F to +158°F,10% to 90% RH non-condensing,European Council EMC Directive 2014/30/EU | United States FCC CFR Title 47 Part 15B,EN 55032:2015 + A11:2020 (harmonized standard) / CISPR 32:2015 + A1:2019 Class B | FCC CFR Title 47 Part 15B Class B,EN 55035:2017 + A11:2020 (harmonized standard) / CISPR 35:2016 | EN 61000-6-2:2019 / IEC 61000-6-2:2016 | EN 61000-6-2:2005 (harmonized standard),"Korean Radio Waves Act, Article 58-2, Clause 3",PCB compliant with UL 94 V-0,European Union Directive 2015/863 (ROHS3),Must be disposed of separately from normal household waste and must be recycled according to local regulations,Released,[PC3628] Coaxlink QSFP28,[PC1625] DB25F I/O Adapter Cable | [PC1636] InterPC C2C-Link Adapter | [PC3303] C2C-Link Ribbon Cable | [PC3304] HD26F I/O Adapter Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euresys,coaxpress,Frame Grabbers (Coaxlink/Grablink/Domino/Picolo - all),euresys_frame_grabbers,Coaxlink Octo CXP-12,https://www.euresys.com/en/products/frame-grabber/coaxlink-octo-cxp-12/,dl_specs,PCI Express card,"Standard profile, half length, 8-lane PCI Express card","Air cooling, fan-cooled heatsink","For insertion in a standard height, 8-lane or higher, PCI Express card slot",Eight micro-BNC 75 Ohms (also known as HD-BNC™) CXP-12,"'A', 'B', 'C', 'D', 'E', 'F', 'G', 'H' on bracket: |   - Bi-color red/green LEDs |   - CoaXPress Host connector indicator | 'FPGA STATUS LAMP' on PCB: |   - Bi-color red/green LED |   - FPGA status indicator | 'BOARD STATUS LAMP' on PCB: |   - Bi-color red/green LED |   - Board status indicator",'RECOVERY' on PCB: | 2-way DIP switch | Firmware emergency recovery,PCB L x H: 167.65 mm x 111.15 mm [6.6 in x 4.38 in],Net weight: 516 g [18.2 oz] | Gross weight: 661 g [23.3 oz],PCI Express 4.0,"8 lanes | 1 lane, 2 lanes or 4 lanes with reduced performance",16.0 GT/s (PCIe 4.0),512 bytes,32- and 64-bit,"15,700 MB/s","13,500 MB/s (Host PC motherboard dependent)",75 W,"Typ. 24.3 W (0 W @ +3.3V, 24.3 W @ +12V), excluding camera and I/O power output",CoaXPress,"CoaXPress 1.0, 1.1, 1.1.1, 2.0 and 2.1",CXP-12,8 connections,One CoaXPress Host connection status LED per connection,Area-scan cameras: |   - One 1- or 2- or 4- or 8-connection camera |   - One or two 1- or 2- or 4-connection cameras |   - Up to four 1- or 2-connection cameras |   - One 1- or 2- or 4-connection camera and up to four 1-connection cameras |   - Up to eight 1-connection cameras | Line-scan cameras: |   - One 1- or 2- or 4- or 8-connection camera |   - One or two 1- or 2- or 4-connection cameras |   - Up to four 1- or 2-connection cameras,8,Yes,"100 Gbps (10,000 MB/s)","1.25 Gbps (CXP-1), 2.5 Gbps (CXP-2), 3.125 Gbps (CXP-3), 5 Gbps (CXP-5), 6.25 Gbps (CXP-6), 10.0 Gbps (CXP-10), and 12.5 Gbps (CXP-12)","Low-speed 20.83... Mbps (CXP-1 to CXP-6) | Low-speed 41.66... Mbps (CXP-10, CXP-12)",1 data stream per camera,"16,384 bytes","Area-scan cameras: |   - Grayscale and color (YCbCr, YUV, RGB and Bayer CFA) |   - Single-tap (1X-1Y) progressive-scan | Line-scan cameras and contact imaging sensors: |   - Grayscale and color RGB","Mono8, Mono10, Mono12, Mono14, Mono16 | BayerXX8, BayerXX10, BayerXX12, BayerXX14, BayerXX16 where XX = GR, RG, GB, or BG | RGB8, RGB10, RGB12, RGB14, RGB16 | RGBA8, RGBA10, RGBA12, RGBA14, RGBA16 | YCbCr601_422_8, YCbCr601_422_10 | YCbCr709_422_8, YCbCr709_422_10 | YUV422_8, YUV422_10 | Raw","Precise control of asynchronous reset cameras, with exposure control. | Support of camera exposure/readout overlap. | Support of external hardware trigger, with optional delay and trigger decimation.",Accurate control of the strobe position for strobed light sources. | Support of early and late strobe pulses.,"Precise control of start-of-scan and end-of-scan triggers. | Support of external hardware trigger, with optional delay. | Support of infinite acquisition, without missing line, for web inspection applications.","Support for quadrature motion encoders, with programmable noise filters, selection of acquisition direction and backward motion compensation. | Rate Converter tool for fine control of the pixel aspect ratio: Rate Conversion Ratio in the range 0.001 to 1000 with an accuracy better than 0.1%. | Rate Divider tool",Accurate control of the strobe position for strobed light sources.,8 GB,Unpacking of 10-/12-/14-bit to 16-bit with selectable justification to LSb or MSb | Optional swap of R and B components | Little endian conversion,Measurement of: |   - Frame rate (Area-scan only) |   - Line rate |   - Data rate | Configurable averaging interval,10 I/O lines on INTERNAL I/O connector: | 2 differential inputs (DIN) | 2 singled-ended TTL inputs/outputs (TTLIO) | 4 isolated inputs (IIN) | 2 isolated outputs (IOUT) | NOTE: The number of I/O lines can be extended using I/O modules attached to the I/O EXTENSION connector.,Any I/O input lines can be used by any LIN tool of the I/O Toolbox | Selected pairs of I/O input lines can be used by any QDC tool of the I/O toolbox to decode A/B signals of a motion encoder,"DIN: High-speed differential inputs, up to 5 MHz, compatible with ANSI/EIA/TIA-422/485 differential line drivers and complementary TTL drivers | TTLIO: High-speed 5V-compliant TTL inputs or LVTTL outputs, compatible with totem-pole LVTTL, TTL, 5V CMOS drivers or LVTTL, TTL, 3V CMOS receivers | IIN: 200 kHz isolated current-sense input with wide voltage input range up to 30V, compatible with totem-pole (push-pull) HTL drivers, 5V TTL/RS-422 differential line drivers, 5V CMOS drivers, potential free contacts, solid-state relays and optocouplers | IOUT: Isolated contact outputs compatible with 30V / 100mA loads | NOTE: IIN and IOUT lines provide a functional isolation grade for the circuit technical protection. It does not provide an isolation that can protect a human being from electrical shock!","Glitch removal filter available on all System I/O input lines | Configurable filter delay: |   - Custom value |   - Fixed values for DIN and TTLIO lines: 50 ns, 100 ns, 200 ns, 500 ns, 1 µs |   - Fixed values for IIN lines: 500 ns, 1 µs, 2 µs, 5 µs, 10 µs",Yes,,"The I/O Toolbox is a configurable interconnection of tools that generates events (usually triggers): | Line Input tool (LIN): edge detector delivering events on rising or falling edges of any selected input line. | Quadrature Decoder tool (QDC): a composite tool including: |   - A quadrature edge detector delivering events on selected transitions of selected pairs of input lines. |   - An optional backward motion compensator for clean line-scan image acquisition when the motion is unstable. |   - A 32-bit up/down counter for delivering a position value. | Device Link Trigger tool (DLT): delivers an event on reception of a valid high-speed CoaXPress 2.0 connection trigger packet message from the remote device. | User Actions Scheduler tool (UAS): to delegate the execution of 'User Actions' at a scheduled time or encoder position. Possible user actions include setting low/high/toggle any bit of the User Output Register or generation of any User Events. | Delay tool (DEL): to delay up to 16 events from one or two I/O toolbox event sources, by a programmable time or number of motion encoder ticks (any QDC events). | Divider tool (DIV): to generate an event every nth input events from any I/O toolbox event source. | Multiplier/divider tool (MDV): to generate m events every d input events from any I/O toolbox event source. | The 'Input Tools' (LIN, QDC, DLT and UAS) can be further processed by the 'Event Tools' (DEL, DIV and MDV) to generate any of the following ""trigger"" events: |   - The ""cycle trigger"" of the Camera and Illumination controller |   - The ""cycle sequence trigger"" of the Camera and Illumination controller |   - The ""start-of-scan trigger"" of the Acquisition Controller (line-scan only) |   - The ""end-of-scan trigger"" of the Acquisition Controller (line-scan only)",TBD,"Accurate synchronization of the trigger and the start-of-exposure of multiple grabber-controlled area-scan cameras. | Accurate synchronization of the start-of-cycle, start-of-scan and end-of-scan of multiple grabber-controlled line-scan cameras.","C2C-Link synchronizes cameras connected to: |   - the same card |   - to different cards in the same PC (requires an accessory cable such as the ""3303 C2C-Link Ribbon Cable"" or a custom-made C2C-Link cable) |   - to different cards in different PCs (requires one ""1636 InterPC C2C-Link Adapter"" for each PC and one RJ 45 CAT 5 STP straight LAN cable for each adapter but the last one) | Maximum distance: |   - 120 cm inside a PC |   - 1200 m cumulated adapter to adapter cable length | Maximum trigger rate: |   - 2.5 MHz for configurations using a single PC, or up to 10 PCs and 100 m total C2C-Link cable length |   - 200 kHz for configurations up to 32 PCs and 1200m total C2C-Link cable length | Trigger propagation delay from master to slave devices: |   - Less than 10 ns for cameras on the same card or on different cards in the same PC |   - Less than 265 ns for cameras on different cards in different PCs (3 PCs and 40m total C2C-Link cable length)",eGrabber,eGrabber 26.xx,eGrabber 26.05,"Microsoft Windows 11, 10 for x86-64 (64-bit) processor architecture | Linux for x86-64 (64-bit) and AArch64 (64-bit) processor architectures | macOS for x86-64 (64-bit) and AArch64 (64-bit) processor architectures","EGrabber class, with C++ and .NET APIs: .NET assembly designed to be used with development environments compatible with .NET frameworks version 4.6 or higher | GenICam GenTL producer libraries compatible with C/C++ compilers: |   - 'x86_64' dynamic library designed to be used with ISO-compliant C/C++ compilers for the development of x86-64 (64-bit) applications |   - 'aarch64' dynamic library designed to be used with ISO-compliant C/C++ compilers for the development of AArch64 (64-bit) applications",Yes,0°C to +55°C / +32°F to +131°F,10% to 90% RH non-condensing,-20°C to +70°C/ -4°F to +158°F,10% to 90% RH non-condensing,European Council EMC Directive 2014/30/EU | United States FCC CFR Title 47 Part 15B,EN 55032:2015 / CISPR 32:2012 Class TBD | FCC CFR Title 47 Part 15B Class TBD,EN 55024:2010 / CISPR 24:2010 | EN 55035:2017 / CISPR 35:2016 | EN 61000-4-2:2009 | EN 61000-4-3:2006 | EN 61000-4-4:2004 | EN 61000-4-6:2014 | To be confirmed,"Korean Radio Waves Act, Article 58-2, Clause 3",PCB compliant with UL 94 V-0,European Union Directive 2015/863 (ROHS3),Must be disposed of separately from normal household waste and must be recycled according to local regulations,Preliminary,[PC3632] Coaxlink Octo CXP-12,[PC1625] DB25F I/O Adapter Cable | [PC1636] InterPC C2C-Link Adapter | [PC3303] C2C-Link Ribbon Cable | [PC3614] HD26F I/O Extension Module - Standard I/O Set | [PC3618] HD26F I/O Extension Module - Fast I/O,PoCXP,PoCXP Safe Power: |   - 17 W of 24V DC regulated power per CoaXPress connector |   - Maximum aggregated power: 104 W |   - PoCXP Device detection and automatic power-on |   - Overload and short-circuit protections | On-board 12V to 24V DC/DC converter | A +12V power source must be connected to the AUXILIARY POWER INPUT connector using an 8-pin PEG cable (2x3 plug + 2x1 plug) | NOTE: Only the 2x3 plug from the PEG cable must be connected to the AUXILIARY POWER INPUT connector.,Only available with the '2-camera' firmware variant,"Monochrome 8-bit to 8-bit transformation | Monochrome 10-bit to 8-, 10- or 16-bit transformations | Monochrome 12-bit to 8-, 12- or 16-bit transformations",TBD,TBD,The application software can be notified of the occurrence of various events: |   - Standard event: the EVENT_NEW_BUFFER event notifies the application of newly filled buffers |   - A large set of custom events | Custom events sources: |   - I/O Toolbox events |   - Camera and Illumination control events |   - CoaXPress data stream events |   - CoaXPress host interface events | Each custom event is associated with a 32-bit counter that counts the number of occurrences | The last three 32-bit context data words of the event context data can be configured with event-specific context data: |   - Event-specific data |   - State of all System I/O lines sampled at the event occurrence time |   - Value of any event counter,European Union Regulation 1907/2006,[PC3304] HD26F I/O Adapter Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
