brand,lens_type,model,raw_category,focal_length_mm,magnification,working_distance_mm,aperture,max_sensor_format_mm,image_circle_mm,fov_mm,numerical_aperture,resolution_um,mtf30_lpmm,dof_mm,distortion_pct,telecentricity_deg,mount,weight_g,coaxial,wavelength_range,_source_url,_raw_target
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/17 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),17,,157,F/1.4 ... F/11,11,,,- | 0.33,,,,,,C,85,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-17mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/17 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),17,,157,F/1.4 ... F/11,11,,,- | 0.33,,,,,,C,129,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-17mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/17 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),17,,157,F/1.4 ... F/11,11,,,- | 0.33,,,,,,C,85,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-17mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/17 mm C-Mount Stabilized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),17,,157,F/1.4 ... F/11,11,,,- | 0.33,,,,,,C,85,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-17mm-c-stabilized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/23 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),23,,207,F/1.4 ... F/11,11,,,- | 0.35,,,,,,C,95,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-23mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/23 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),23,,207,F/1.4 ... F/11,11,,,- | 0.35,,,,,,C,139,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-23mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.4/23 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),23,,207,F/1.4 ... F/11,11,,,- | 0.35,,,,,,C,95,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-4-23mm-c-ruggedized,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.9/35 mm C-Mount lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,354,F/1.9 ... F/16,11,,,- | 0.26,,,,,,C,92,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-9-35mm-c,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.9/35 mm C-Mount Motorized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,354,F/1.9 ... F/16,11,,,- | 0.26,,,,,,C,136,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-9-35mm-c-motorized-iris,schneider_cmount
Schneider-Kreuznach,fixed_focal,CITRINE F1.9/35 mm C-Mount Ruggedized lens,C-Mount Lenses (CITRINE/TURQUOISE/AQUAMARINE/OPAL/JADE/TOURMALINE/TOPAZ),35,,354,F/1.9 ... F/16,11,,,- | 0.26,,,,,,C,92,,,https://schneiderkreuznach.com/en/industrial-optics/lenses/c-mount-lenses/citrine/f1-9-35mm-c-ruggedized,schneider_cmount
