alliedvision,스펙트럼,"SWIR, Visible SWIR",Visible,UV,Visible-NIR,SWIR,"eXtended SWIR, SWIR",eXtended SWIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliedvision,스펙트럼 범위,400 nm to 1700 nm,300 nm to 1100 nm,200 nm to 1000 nm,200 nm to 1100 nm,900 nm to 1700 nm,1100 nm to 1900 nm,1200 nm to 2200 nm,400 nm to 1000 nm,350 nm to 1000 nm,380 nm to 1000 nm,200 nm to 400 nm,360 nm to 960 nm,1000 nm to 1000 nm,400 nm to 960 nm,950 nm to 1700 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huaray,GPIO Interface,"1x 6 pin Hirose: 1x Opto-isolated input, 1x Opto-isolated output, 1 configurable input and output","1x Opto-isolated input, 1x Opto-isolated output, 1 configurable input and output","1× 6 pin Hirose: 1× Opto-isolated input, 1× Opto-isolated output, 1 configurable input and output","6 pin Hirose: 1x Opto-isolated input, 1x Opto-isolated output, 1 configurable input and output","5-core white plug interface: 1 optocoupler isolated input, 1 optocoupler isolated output, and 1 configurable input/output without optocoupler isolation","1 × Opto-isolated input, 1 × Opto-isolated output, 1 configurable input and output","1x 6 pin Hirose: 1x Opto-isolated input, 1x Opto-isolated output","6 pin Hirose: 
1 Opto-isolated input, 1 Opto-isolated output, 1 configurable input/output without opto isolation","Standard 5 pin trigger connecter: 1x Opto-isolated input, 1x Opto-isolated output, 1 configurable input and output","1 × 6 pin Hirose: 1 × Opto-isolated input, 1 × Opto-isolated output, 1 configurable input and output","6 pin Hirose: 1 Opto-isolated input, 1 Opto-isolated output, 1 configurable input/output without opto isolation",Standard 6 pin trigger connecter:3 configurable input and output,"1× Opto-isolated input, 1× Opto-isolated output, 1× configurable input and output","3x Opto-isolated input, 3x Opto-isolated output；1x RS232","3x Opto-isolated input, 3x Opto-isolated output, 1x RS232","3x Opto-isolated input, 3x Opto-isolated output;1x RS232",3x configurable input and output,"3× Opto-isolated input, 3× Opto-isolated output;1× RS232","3x Opto-isolated input, 3x Opto-isolated output","1x 6 pin Hirose: 1x Opto-isolated input, 1x Opto-isolated output,","3× Opto-isolated input, 3× Opto-isolated output, 1× RS232","3x Opto-isolated input, 3x Opto-isolated output, 1x RS232 interface","3 × Opto-isolated input, 3 × Opto-isolated output, 1 × RS232","2 differential input, 2 single-end input, 1 differential output and 1 GPIO.","12-pin Hirose interface for external power supply and external triggering; 2 differential/single-ended inputs, 1 differential configurable input or output, 1 high-speed optocoupler single-ended input, 1 GPIO configurable input or output","2 differential/single-end input, 2 differential/single-end output, 1 differential/single-end configurable input/output and 1 GPIO.","4 differential input, output, and 1 GPIO input, output","4 differential input,  output, and 1 GPIO  input,  output,","4 differential input,output and 1 GPIO  input,output",,,,,,,,,,,,,,,,,,
huaray,Lens Mount,C-mount,C,CS-mount,M12,M58 x 0.75,F-Mount,M42 x 1,M58 × 0.75,M42x1,M72 x 0.75,M72 × 0.75,C-Mount,M72,M42,"M90*1, flange back focus 12 mm; can be transferred to F-mount lens via adapter ring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jai,Color / Mono,Color,Multispectral,Mono,Mono Polarized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jai,Light Spectrum,Visible + NIR,Visible,2-Bands Visible + NIR (Prism),3-Bands Visible + NIR (Prism),Visible + UV,4-Bands R-G-B + NIR (Prism),4-Bands R-G-B + SWIR (Prism),2-Bands SWIR (Prism),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jai,Interface,USB3 Vision,GigE Vision 1-Cable (PoE),Mini Camera Link (PoCL),10 Gbps GigE Vision,5 Gbps GigE Vision,CoaXPress-1-Lane (PoCXP),Mini Camera Link,USB3 Vision (PoUSB),5 Gbps GigE Vision (PoE),CoaXPress-4-Lanes (PoCXP),CoaXPress-2-Lanes (PoCXP),CoaXPress-4-Lanes,SFP+ over 10 Gigabit Ethernet,GigE Vision,Camera Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jai,Lens Mount,C-mount,C-mount or CS-mount,F-mount or M-42Ax1 mount,F-mount or M42x1 mount,M95-Mount,M72-Mount,F-mount or M52-mount,Fマウント または M52マウント,M52-Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentech,Color / Monochrome,SWIR,Color,Monochrome,Monochrome NIR,Color NIR,UV,Polarization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sentech,Interface,"CoaXPress (CXP-12, 1 lane)",PoE: IEEE802.3af CLASS3 (1000BASE-T),USB3.0,Camera Link 80bit / Full / Medium / Base,Camera Link Base,"CoaXPress (CXP-12, 2 lane)",10GigE,GVIF2 (with USB3 Vision conversion control unit),GVIF2 (with GVIF frame grabber board),CoaXPress (CXP-12 4 lane),PoE: IEEE802.3af CLASS1 (1000BASE-T),Camera Link Medium / Base,Camera Link Full / Medium / Base,"CoaXPress (CXP-6, 1 lane)","CoaXPress (CXP-6, 2 lane)","CoaXPress (CXP-6, 4 lane)",CoaXPress (CXP-12 1 lane),CoaXPress (CXP-12 2 lane),"CoaXPress (CXP-3, 1 lane)","PoE: IEEE802.3af CLASS3 (10GBASE-T, 5GBASE-T, 1000BASE-T)",PoE: IEEE802.3af CLASS2 (1000BASE-T),PoE: IEEE802.3af CLASS2 (1000BASE-T,IEEE802.3ab (1000BASE-T),Opt-C:Link 40Gbps,Opt-C:Link,Camera Link 80bit / Full / Base,DVI 1.0 (RGB),3G-SDI 4:2:2 YCrCb 10bits,MIPI CSI-2 2 lane,Analog TV format,,,,,,,,,,,,,,,,,
