alliedvision_컬럼명,alliedvision_샘플데이터,basler_컬럼명,basler_샘플데이터,hikrobot_컬럼명,hikrobot_샘플데이터,huaray_컬럼명,huaray_샘플데이터,jai_컬럼명,jai_샘플데이터,lucid_컬럼명,lucid_샘플데이터,sentech_컬럼명,sentech_샘플데이터,teledyne_컬럼명,teledyne_샘플데이터
,,조명 (Illumination),,Max. line rate,"Standard mode: 56 kHz @ Mono 8, 28 kHz @ Mono 10/12
High-bandwidth mode: 100 kHz @ Mono 8/10/12 | Standard mode: 40 kHz @ Bayer RG 8/Mono 8, 29.7 kHz @ Bayer RG 10/12/Mono 10/12, 19.8 kHz @ RBG 8/BGR 8
High-bandwidth mode: 40 kHz @ RBG 8/ Bayer RG 8 | Standard mode: 58 kHz @ Mono 8, 29 kHz @ Mono 10/12
High-bandwidth mode: 86 kHz @ Mono 8, 58 kHz @ Mono 10/12 | Standard mode: 58 kHz @ Mono 8/Bayer RG 8, 29 kHz @ Bayer RG 10/12, 19 kHz @ RGB 8/BGR 8
High-bandwidth mode: 70 kHz @ Bayer RG 8/Mono 8, 40 kHz @ RGB 8 | Standard mode: 28 kHz @ Mono 8, 14 kHz @ Mono 10/12
High-bandwidth mode: 80 kHz @ Mono 8/10/12",Packaging Dimensions,,,,라인 속도,65 kHz (Mono)33 kHz (Color),,,User Sets,4 user configuration sets for custom camera settings | 2 user configuration sets for custom camera settings | 16 user configuration sets for custom camera settings
,,햇빛에서의 내구성,,Trigger mode,"External trigger, internal trigger",Gross Weight,,,,Line Rate,"65 kHz (4K, Mono8)*130 kHz (2K, Mono8)*33 kHz (4K, CFA_RBGG8)33 kHz (2K, CFA4by1_WBGR88)*단일 라인 판독용",,,Dynamic Range dB,72.0 | 60.0 | 71.0 | 53.0 | 70.0
,,데이터 커넥터,,External trigger mode,"Line trigger, frame trigger, line + frame trigger | Line trigger",Near FoV,,,,GigE Vision 커넥터,M12,,,Gain Range,1x to 10x | 1x to 4x | 1x to 251x  (0 dB to 48 dB) | 1x to 32x | 1x to24x
,,전원 공급 장치,,Image mode,"Supports 1-line, 2-TDI | Supports 1 Line/2 TDI | Supports 1-line and 2-TDI | Supports 1-line | Supports 1-Line, 2-TDI",Far FoV,,,,추론 엔진,8비트 정수 연산으로 2304MACs 및 최대 262MHz,,,Peak Wavelength,R 680 / G 550 / B 470 nm | 700 nm | R 625 / G 550 / B 470 nm | R 640 / G 520 / B 480 nm | 570 nm
,,구성 요소,,Near field of view,,Clearance Distance,,,,온센서 메모리,8 MB SRAM,,,QE Blue,Peak @ 470 nm | Peak @ 480 nm | 25 @450 nm | Peak @ 475 nm | Peak @ 490 nm
,,표준,,Typical field of view,,Measuring Range (MR),,,,ISP,추론 엔진용 ISP,,,QE Green,Peak @ 550 nm | Peak @ 520 nm | 39 @550 nm | Peak @ 525 nm | Peak @ 575 nm
,,프로그래밍 언어,,Far field of view,,Measuring Accuracy,,,,Supported Models,"Classification(분류), Object Detection(객체 감지), Anomaly Detection(이상 감지)",,,QE Red,Peak @ 680 nm | Peak @ 625 nm | Peak @ 640 nm | 42 @620 nm | Peak @ 675 nm
,,타사 지원,,Clearance distance (CD),,Max. Operating Speed,,,,Input Tensor,분류 – 256 x 256 px 객체 감지 – 320 x 320 px 이상 감지 – 512 x 512 px,,,Responsivity,"55, 40, 25 (DN8/nJ/cm2) | 75 (DN8/nJ/cm2) | 9, 9, 6 (DN8/nJ/cm2) | 12 (DN8/nJ/cm2) | 22, 18, 18 (DN8/nJ/cm2)"
,,마운팅 포인트,,Measurement range (MR),,Data Type,,,,Input/Output Tensors,Included in Chunk Data,,,Saturation Capacity (e-),30000 | 20000 | 32000 | 7200 | 25000
,,하우징 대체품,none,Repeatability (Z-axis)*,,Laser Grade,,,,사용 가능한 출력,"1) 일반 이미지 2) 입력 텐서 (AI 엔진에 의해 처리된 이미지) 3) 출력 텐서 (추론 결과)기본적으로 세 가지 출력 모두 사용 가능합니다. (2)와 (3)은 비활성화할 수 있으며, (1)은 매우 작은 크기(4×4픽셀)로 줄일 수 있습니다..",,,Connector,RJ-45 (vertical & horizontal locking) | HD15 type (female) | 2x SDR-26 | Hirose 6-pin circular (male) | CX4 | Hirose 6-pin circular (male) | CX4 | Hirose 12-pin circular (male) | 2x LC fiber optic | Hirose 12-pin circular (male)
,,‍이미지 처리,In-camera | Host processor (ISP),VDI/VDE accuracy*,,Wavelength,,,,5GBASE-T GigE Vision 커넥터,M12,,,Digitization Bit Depth (ADC),"8-bit, 12-bit | 8-bit | 8-bit, 10-bit | 8-bit, 10-bit, 12-bit | 8 bit"
,,양자 효율 - 녹색 (일반/최소),50.88 % (typical) | 41.09 % (typical) | 40.95 % (typical) | 49.63 % (typical) | 52.89 % (typical),Data acquisition time,,Measuring Range,,,,,,,,Dimensions [W x H x L],46 mm × 46 mm × 37 mm | 62 mm x 62 mm x 47 mm | 62 mm x 62 mm x 31 mm | 76 mm x 76 mm x 31 mm | 76 mm x 76 mm x 36.7 mm
,,양자 효율 - 파란색 (일반/최소),7.21 % (typical) | 7.24 % (typical),Image output delay,,Z-axis Accuracy,,,,,,,,Mass,111 g | 280 g | 190 g | 310 g | 360 g
,,양자 효율 - 빨간색 (일반/최소),6.72 % (typical) | 3.03 % (typical),Data type,,,,,,,,,,Non-Isolated I/O Ports,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional | 2 RS-422 input, 2 RS-422 output, 2 RS-422 Bi-directional | 1 input (CC1) | 2 Bi-directional | 3 Bi-directional"
,,납품 범위,,Laser safety class,,,,,,,,,,Operating Humidity,15 to 85% (no condensation) | 80% RH non-condensing | 0 to 80% (non condensing) | ≤90% non-condensing | 10 to 80% (no condensation)
,,심도(Depth) 해상도,,Wavelength,,,,,,,,,,Operating Temperature,-10°C to 65°C (measured at the front face of the camera) | 0°C to 65°C (measured at the front face of the camera) | 0°C to 60°C (measured at the front face of the camera) | 0°C to 50°C (measured at the front face of the camera) | 0°C to 40°C (measured at the front face of the camera)
,,작업 공간,,Detection accuracy,,,,,,,,,,Power Consumption [Maximum],5 W | 8  W | 11 W | 6 W | 4.5 W
,,초점 거리,,Detection speed,,,,,,,,,,Power Requirements,Power Over Ethernet (PoE) or 12 to 24 V via GPIO connector | 12 to 24 V via GPIO connector | Power-Over-CameraLink (PoCL) or 12 to 24 V via GPIO | 24 V via GPIO connector | 19 to 24 V via GPIO connector
,,프로세서 제조업체,,Scan frame rate,,,,,,,,,,Storage Humidity,"15 to 85% (no condensation) | 0 to 90% (non condensing) | 10 to 80% (no condensation) | 20 to 80% (no condensation) | 0 to 90% relative, non condensing"
,,수평 해상도(X축),,Depth image detection accuracy,,,,,,,,,,Storage Temperature,-20°C to 80°C | –20 to 60 °C | -40°C to 80°C | -20 to 60 °C | -30°C to 70°C
,,높이 해상도 (Z축),,,,,,,,,,,,Port,Gigabit Ethernet Port | CameraLink (2 x SDR-26 cables) | CLHS 7 Data Lanes (10.3 Gbps/lane) | CLHS 2 Fiber optic Lanes (10 Gbps/lane) | CLHS 4 Fiber optic Lanes (10 Gbps/lane)
,,배율,,,,,,,,,,,,Power Sourcing Equipment,IEEE802.3af-2003 PoE Interface Card / Injector/ Switch or External Camera Power Supply | External Camera Power Supply | PoCL or External Camera Power Supply | PoCXP or External Camera Power Supply | USB3 Port or External Camera Power Supply
,,광원,,,,,,,,,,,,Required Accessories,"Lens, Cable, Host Adapter (GigE Nic or Xtium2-XGV frame grabber) | Lens, Cable, Host Adapter (CameraLink frame grabber) | Lens, Cable, Host Adapter (Xtium2-CLHS PX8 CLHS frame grabber pn: OR-A8S0-PX870) | Lens, Cable, Host Adapter (Xtium2-CLHS FX8 LC CLHS frame grabber pn: OR-A8S0-FX820) | Lens, Cable, Host Adapter (Xtium2-CLHS PX8 CLHS frame grabber pn: OR-A8S0-HX870)"
,,이격 거리 (Clearance Distance),,,,,,,,,,,,Compliance,"CE, FCC, KCC, RoHS. The ECCN for this product is: EAR099. | CE, FCC, and RoHS | CE, FCC, KCC, RoHS. The ECCN for this product is: Dual-Use. | CE, FCC, RoHS, WEEE. The ECCN for this product is: EAR099. | EAR"
,,Heliotis,,,,,,,,,,,,Machine Vision Standard,GigE Vision v1.2 | CameraLink v.2.1 | CameraLink HS v1.0 | GigE Vision v2.0 | CoaXPress 1.1
,,반복정밀도 (Z축),,,,,,,,,,,,Warranty,"3 years | 2 years | 3 Years | 1 year | 1 year, Lifetime Vacuum Warranty"
,,레이저 등급,,,,,,,,,,,,QE (Mono),700 nm | 690 nm | Peak  @ 620 nm | Peak  @ 690 nm | Peak  @ 820 nm
,,Z축 선형성(+/- % of MR),,,,,,,,,,,,Temporal Dark Noise (Read Noise),9.5 | 15 | < 2 DN | 12 | 21
,,스캔 속도,,,,,,,,,,,,Power Supply,"Hirose 6-pin male | Hirose 6-pin male, +12 VDC to +24 VDC | +12 V to +24 V DC, Hirose 12-pin | 12 V DC, 10 A | 12V DC"
,,데이터포인트/프로파일,,,,,,,,,,,,Opto-isolated I/O Ports,"2 input, 2 output | 2 input, 3 output | 2 input, 4 output | 1 input, 1 output"
,,측정 거리,,,,,,,,,,,,Spectral rate,6600 spectra/sec
,,LMI,,,,,,,,,,,,Typical spectrometric well capacity,"Low gain: 120 Me-, 100 Me- minHigh gain: 4.5 Me-, 4 Me- min"
,,JAI,,,,,,,,,,,,Digitization,16 bits
,,,,,,,,,,,,,,Minimum exposure,20 μs
,,,,,,,,,,,,,,Sensor type,Linear InGaAs photodiode array
,,,,,,,,,,,,,,Max Frame Rate Standard,6600 spectra/s | 500 fps | 664 fps | 18.3 fps | 22.9 fps
,,,,,,,,,,,,,,Conversion Gain,"Low gain: 2000 e/ctHigh gain: 75 e/ct | 0.85 (Speed), 0.25 (Sensitivity), 0.015 (Sub-Electron), 0.23 (Dynamic Range) | High Gain: 1 e⁻/countHigh Capacity: 11 e⁻/count | 7 e-/count | High Gain: 1 e⁻/countHigh Capacity: 14 e⁻/count"
,,,,,,,,,,,,,,Dark Current,Low gain: 6.5 ke-/p/sHigh gain: 5.7 ke-/p/s | Low gain: 0.55 Me-/p/sHigh gain: 0.6 Me-/p/s | 0.47 e⁻/p/s | ≤0.05 e⁻/p/s | ≤0.05 e⁻/p/s (typical)
,,,,,,,,,,,,,,Full Well Capacity (Qsat),"Low gain: 120 Me-High gain: 4.5 Me- | Low gain: 110 Me-High gain: 4.1 Me- | 15,000 e⁻ | >100 ke⁻ | 128 ke⁻"
,,,,,,,,,,,,,,Read Noise,Low gain: 5000 e-High gain: 400 e- | Low gain: 6000 e-High gain: 400 e- | 0.7 e⁻ | ≤1e⁻ | <3 e⁻
,,,,,,,,,,,,,,Sensor Material,InGaAs | Silicon
,,,,,,,,,,,,,,Cooling,Liquid Nitrogen | 0 °C at 30 °C ambient | Multistage TE cooling | TE | -65 °C (TEC air cooled);  -75 °C (liquid cooled)
,,,,,,,,,,,,,,Mounting,"Spec Mount | Two ¼""–20 threads per side | C-mount, optional C-to-spectrometer and C-to-F mount | F-mount, optional F-to-spectrometer and C-mount | One M3x0.5 thread per side"
,,,,,,,,,,,,,,Accessories (Included),"Power Supply, Power Cable, GigE cable, AUX I/O cable | PCIe 3.0 Card and 2x Cables, USB 3.2 10 Gbps Card, 2x USB 3.2 10 Gbps cables (1 m A-C and 3m C-C), Power Supply, BNC Trigger Cable, PVCAM Library and Drivers, Quickstart Guide, 3x Front Plates (C-Mount, F-Mount, T-Mount) | PCIe 3.0 Card and Cable, USB 3.2 10 Gbps Card, 2x USB 3.2 10 Gbps cables (1 m A-C and 3m C-C), Power Supply, BNC Trigger Cable, PVCAM Library and Drivers, Quickstart Guide | Power supply, power cable, AC line cord (regional), CXP frame grabber card, CXP cables, liquid coolant quick disconnects | Power Supply, AC line cord (regional), Trigger cables, Shutter cable, USB3 cable"
,,,,,,,,,,,,,,OS,"Windows, Linux | Windows 7, 8, 8.1, 10, 11 (64 bit) | Windows 11, Linux | Windows 10 (64bit), LInux | Windows 10 (64bit), Linux"
,,,,,,,,,,,,,,셔터 유형,"Global shutter | 글로벌 셔터 | 글로벌 리셋 기능이 있는 롤링 셔터 | Global, Rolling | 롤링 셔터"
,,,,,,,,,,,,,,광학 필터,IR 차단(670nm) | 없음 | IR-Cut Off (670 nm)
,,,,,,,,,,,,,,게인 (Gain) 제어,"Manual | 수동, 자동(AGC) | Manual, automatic (AGC)"
,,,,,,,,,,,,,,노출 범위,5 µs to 2500 µs | 15µ~30초 | 4 µs 에서 30초 | 11µs~30초 | 6.0 µs 에서 30초
,,,,,,,,,,,,,,노출 제어,"Hardware trigger, programmable via camera API | 하드웨어 트리거, 카메라 API를 통해 프로그래밍 가능, 자동 | Hardware trigger, programmable via camera API, automatic"
,,,,,,,,,,,,,,이미지 버퍼,90 MB | 240 MB | 500 MB | 96 MB | 32 MB
,,,,,,,,,,,,,,게인 (Gain) 범위,1x to 10x | 0dB~42dB | 0 dB에서 47 dB | 0dB~18dB | 0 dB에서 18 dB
,,,,,,,,,,,,,,응답성,"55,, 40, 25 (DN8/nJ/cm2) | 75 (DN8/nJ/cm2) | 9, 9, 6 (DN8/nJ/cm2) | 12 (DN8/nJ/cm2)"
,,,,,,,,,,,,,,QE 그린,Peak @ 550 nm | 61 @525nm | 39.78 @530nm | 57.93 @525nm | 64(HCG) / 63(LCG) @525nm
,,,,,,,,,,,,,,QE 레드,Peak @ 650 nm | 48 @630nm | 36.66 @625nm | 45.34 @630nm | 52(HCG) / 51(LCG) @625nm
,,,,,,,,,,,,,,QE 블루,Peak @ 460 nm | 52 @470nm | 38.26 @460nm | 48.02 @470nm | 54(HCG) / 53(LCG) @460nm
,,,,,,,,,,,,,,비절연 I/O 포트,"2 RS-422 input, 2 RS-422 output, 1 RS-422 Bi-directional | 1 양방향, 1 입력 | 1 bi-directional, 1 input | 3 양방향 | 4 양방향"
,,,,,,,,,,,,,,보증,2 years | 3년 | 3 years
,,,,,,,,,,,,,,QE(모노),650 nm | 63 | 65 @525nm | 52 @525nm | 53 @525nm
,,,,,,,,,,,,,,최대 프레임 속도 표준,92 | 291 | 85 | 78 | 69
,,,,,,,,,,,,,,센서 형식,"1/2"" | 1/2.9"" | 1.1"" | 1/1,7"" | 1/2.3"""
,,,,,,,,,,,,,,화이트 밸런스,"수동, 자동(AWB) | Manual, automatic (AWB)"
,,,,,,,,,,,,,,양자 효율,63 | 65 (525 nm) | 52 (% at 525 nm) | 53.35(525nm에서 %) | 63.24(525nm)
,,,,,,,,,,,,,,절대 예민도 역치 (y),408 | 7.10 | 6.57 | 25.09 | 18.45
,,,,,,,,,,,,,,광아이솔레이터_격리 IO 포트,"1 input, 1 output | 2 input, 2 output"
,,,,,,,,,,,,,,보조 출력,"3.3 V, 120 mA maximum | 4.3 V to 5.25 V, up to 200 mA maximum"
,,,,,,,,,,,,,,센서 셔터 유형,글로벌 셔터 | 글로벌 리셋 기능이 있는 롤링 셔터 | 롤링 셔터
,,,,,,,,,,,,,,Quantum Efficiency,96% | 85% | 73% | 95%
,,,,,,,,,,,,,,Spectrum Capabilities,"UV (200-400 nm), Visible (400-700 nm), Near Infrared (700-1000 nm) | 0.3-1.7 µm (VisGaAs)0.9-2.5 µm (HgCdTe) | UV (200-440 nm), Visible (400-700 nm), Near Infrared (700-1000 nm)"
,,,,,,,,,,,,,,Read Noise (median),0.7 e- | 2.2 e- | 1.5 e- | 1.6 e- | 1.0 e-
,,,,,,,,,,,,,,Megapixels,10.2 | 5.7 | 66 MP | 42 MP | 24 MP
,,,,,,,,,,,,,,Sensor Diagonal,29 mm | 22 mm | 115 mm | 92 mm | 69 mm
,,,,,,,,,,,,,,Color/Mono,Mono | Color
,,,,,,,,,,,,,,Triggering Modes,"Input (Trigger-First, Level, Edge, SMART Streaming), Output (Any Row, First Row, Line Output), Effective Global Shutter (All Rows, Rolling Shutter), Expose Out | Output (Ready, Expose, Shutter, Readout, Waiting for Trigger), Input (Trigger per Acquisition, Trigger per Readout, Bulb Exposure) | Trigger In, TTL Out, Readout Monitor, Expose Monitor, Shutter Monitor, External Shutter Control | Expose (first row, any row, all rows), Readout, Ready, Shutter Out | Start on single trigger, Readout per trigger, Exposure during trigger pulse"
,,,,,,,,,,,,,,Dynamic Range,"10,000 | 100,000 : 1 | 40,000 : 1 | 72 | 73"
,,,,,,,,,,,,,,Field of View,20.8 x 20.8 mm | 15.6 x 15.6 mm | 81.2 x 81.2 mm | 65 x 65 mm | 48.8 x 48.8 mm
,,,,,,,,,,,,,,CPU,"3.0 GHz or faster Intel Processor, 4 or more cores"
,,,,,,,,,,,,,,Hard Drive,m.2 NVME SSD
,,,,,,,,,,,,,,RAM,32 GB DDR4 | 2 GB RAM or more | 2 GB RAM 또는 그 이상 | 2GB RAM 이상 | 8 GB RAM 또는 그 이상 (이중 채널)
,,,,,,,,,,,,,,Certification,"CE, UL, CUL, FCC, PSE Efficiency level VI | CE | CE, UL/CSA, FCC Part 15, VCCI, BSMI, KN32 & KN35, AS/NZS | FCC Part 15, Subpart B; Class A, CE, UKCA, RoHS 3, PSE, ISO 9001:2015"
,,,,,,,,,,,,,,최대 프레임 속도 터보드라이브/무손실 압축,350.0 | 75.0 | 150.0 | 137.0 | 79.0
,,,,,,,,,,,,,,시리얼 포트,지원됨 | Supported | 1 (비격리 I/O의 경우) | 1 (over non-isolated I/O) | 1(비격리 I/O의 경우)
,,,,,,,,,,,,,,운영 시스템 [권장],Windows or Linux (32–bit or 64–bit) | Windows 또는 Linux (32비트 또는 64비트) | Windows 또는 Linux(32–비트 또는 64–비트) | Windows 또는 Linux (32–bit 또는 64–bit)
,,,,,,,,,,,,,,하드 드라이브,200 MB 하드 드라이브 저장 공간 | 200MB 하드 드라이브 저장 공간
,,,,,,,,,,,,,,CPU [권장],3.1 GHz 또는 동일 CPU | 3.1GHz 또는 동급 CPU | 4세대 Intel Core i7 (또는 더 최신) | 4세대 Intel Core i7 (또는 더 최신 버전)
,,,,,,,,,,,,,,High Dynamic Range,18-bit HDR mode
,,,,,,,,,,,,,,Frame Rate,700 Hz  (full frame)
,,,,,,,,,,,,,,Readout,"integrate-then-read, integrate-while-read, sample-up-the-ramp"
,,,,,,,,,,,,,,컬러/모노,Mono
,,,,,,,,,,,,,,리드 노이즈,< 30 e⁻
,,,,,,,,,,,,,,센서 소재,InGaAs | HgCdTe
,,,,,,,,,,,,,,암전류,< 60 e⁻/p/s | < 400 ke⁻/p/s
,,,,,,,,,,,,,,전체 웰 용량(Qsat),1 Me⁻ (low gain)
,,,,,,,,,,,,,,시야각 (FOV),6.4 x 5.1 mm | 12.8 x 10.2 mm
,,,,,,,,,,,,,,액세서리(포함 사항),"Power supply, USB cable, trigger cables, quickstart guide"
,,,,,,,,,,,,,,인증,CE
,,,,,,,,,,,,,,최대 프레임 속도 버스트,122.9 | 207.0 | 68.0 | 52.5 | 35.0
,,,,,,,,,,,,,,전력 소비량,3 W | <3 W | <3W | <2.5 W | 2.3W
,,,,,,,,,,,,,,동작 범위,50 dB
,,,,,,,,,,,,,,Options,Serial Port RS-232 available on demand | Color models available with IR cut-off filter @650 nm | C-mount available as CS-mountOpto-isolated 2 input / 2 output available as 1 input / 3 outputColor models available with IR cut-off filter @650 nmAll models available with RS-232 serial port
,,,,,,,,,,,,,,Max Frame Rate Burst,18.5 | 13.8 | 187 | 141 | 63
,,,,,,,,,,,,,,Sensor Format,"1.4"" | APS-C | 1/1.8"" | 2/3"" | 1.1"""
,,,,,,,,,,,,,,White Balance,"Manual, automatic (AWB) | Manual and automatic control | Yes"
,,,,,,,,,,,,,,Quantum efficiency,>90% at 450 nm98% at 900 nm75% at 1000 nm
,,,,,,,,,,,,,,Pixel size,20 x 20 μm
,,,,,,,,,,,,,,Dark Noise,≤0.0015 e⁻/pix/sec | 0.7 e⁻/p/s | 500 e⁻/pix/sec | 10 e⁻/p/s (@ -190 °C) | 40 e⁻/pix/sec
,,,,,,,,,,,,,,Max Frame Rate Turbodrive/Lossless Compression,187.0 | 141.0 | 63.0 | 88.0 | 39.0
,,,,,,,,,,,,,,Absolute Sensitivity Threshold (y),4.7 | 4.8 | 33 | 10.1 | 23.1
,,,,,,,,,,,,,,Serial Port,(RS-232 available on Demand)
,,,,,,,,,,,,,,GPIO,"1 digital input (CC1) | SAMTEC TFM-105 type | JST# SM09B-NSHSS-TB | Hirose-8 male connector, P-iris 4 pin connector | Samtec TFM-105-02-L-D-WT"
,,,,,,,,,,,,,,Shutter Type,Global Shutter
,,,,,,,,,,,,,,C-Mount Coupler Magnification,0.63x - 0.7x C-mount coupler | 0.5x - 0.63x C-mount coupler | 1.0x C-mount coupler | 0.5x or 0.63x C-mount coupler
,,,,,,,,,,,,,,Angular FOV,20° | 14.4°
,,,,,,,,,,,,,,Aperture,f/1.5 | f/2.0
,,,,,,,,,,,,,,Dewar Hours,>30 h | 24
,,,,,,,,,,,,,,Operation Mode,"Normal CCD, EM Mode | EM Mode, Low noise mode"
,,,,,,,,,,,,,,Dark Current Noise,0.001 e-/p/s
,,,,,,,,,,,,,,작업 거리,
,,,,,,,,,,,,,,마운트 장착,
,,,,,,,,,,,,,,베이스라인,
,,,,,,,,,,,,,,교정,
,,,,,,,,,,,,,,3D Processing,
,,,,,,,,,,,,,,비디오 출력(SDK),
