alliedvision_컬럼명,alliedvision_샘플데이터,basler_컬럼명,basler_샘플데이터,hikrobot_컬럼명,hikrobot_샘플데이터,huaray_컬럼명,huaray_샘플데이터,jai_컬럼명,jai_샘플데이터,lucid_컬럼명,lucid_샘플데이터,sentech_컬럼명,sentech_샘플데이터,teledyne_컬럼명,teledyne_샘플데이터
인터페이스 커넥터,(RJ-45) | (SFP28) | (QSFP28) | (micro-BNC) | SDR,측정된,541 nm | 525 nm,Signal-to-noise ratio,39.7 dB | / | 42.9 dB | 39.8 dB | 41.2 dB,Line Rate,49 kHz | 28 kHz | 44.7 kHz | 80 kHz | 92 kHz,,,보증,3 year,PTP Function (IEEE1588),Support,Camera Type,Line Scan | TDI Line Scan | Area Scan
노출 모드,"Manual, Auto, External | Manual, Auto | external | Timed, Trigger Width, External | manual",양자 효율 (일반/최소),91.7 % (typical) | 62.2 % (typical) | 65.8 % (typical) | 66.4 % (typical) | 65.7 % (typical),Saturation capacity,9.4 ke- | / | 19.6 ke- | 18.8 ke- | 9.5 ke-,TDI Stages,single_line，2TDI | single_line，2TDI，4TDI | singleLine;two_tdi | singleLine;fourLine;two_tdi | Support 2-TDI,,,parent_model,PHX200S | PHX124S | PHX120S | PHX089S | PHX081S,Line Rate,240 kHz | 120 kHz | 266 kHz | 80 kHz | 60 kHz,Sensor Technology,CMOS | sCMOS | Hybrid CMOSVisGaAs and HgCdTe (Teledyne Exclusive)
게인 모드,"Auto, Manual | Digital | Analog | Digital, Analog | manuel, auto",다크 노이즈 (일반/최대),3.7 e¯ (typical) | 2.5 e¯ (typical) | 2.1 e¯ (typical) | 13.1 e¯ (typical) | 2.6 e¯ (typical),Dimension (without lens),"29 mm × 29 mm × 42 mm (1.1"" × 1.1"" × 1.7"") | 32.5 mm × 32.5 mm × 1.6 mm (1.3"" × 1.3"" × 0.1"") | 35 mm × 35 mm × 8.6 mm (1.4"" × 1.4"" × 0.3"")",Sensitivity,77.0,,,이더넷 인터페이스,RJ45 | ix Connector | FFC (ZIF) | ix Industrial,,,Supported Interfaces,"GigE Vision | GigE Vision, Camera Link, Camera Link HS, Gigabit Ethernet | Camera Link HS, Fiber Optic | Camera Link HS | Camera Link"
이미지 제어 기능,"FW Features - Image Control | Binning, Brightness and Contrast, Gamma, Flash (Multi field imaging) | Brightness and Contrast, Gamma, Flash (Multi field imaging) | gamma, lut",포화 용량 (일반/최소),12.2 ke¯ (typical) | 10.4 ke¯ (typical) | 9.9 ke¯ (typical) | 99.6 ke¯ (typical) | 9.6 ke¯ (typical),Configuration mode,"Base, Medium, Full, 80-bit | Full, 80-bit | Base, Medium, Full | Mono 8: Base
RGB 8: Base, Medium, 80-bit
Bayer RGBG 8: Base, Medium, Full",Max. Frame rate,,,,진입 보호,IP67(IP67 보호를 위해 Triton은 IP67 렌즈 튜브 및 케이블과 함께 사용해야합니다) | IP67(IP67 보호를 위해 Triton2은 IP67 렌즈 튜브 및 케이블과 함께 사용해야합니다),,,Spectrum Capability,"Visible (400-700 nm) | Visible (400-700 nm), Near Infrared (700-1000 nm) | Ultraviolet (350-400 nm), Visible (400-700 nm), Near Infrared (700-1000 nm) | Visible (400-700 nm),Near Infrared (700-1000 nm)"
트리거 모드/동기화,"INTERNAL,SOFTWARE,EXTERNAL | External TTL Signal, CC-Trigger | External TTL Signal, CXP-Trigger | Manual, External analog Voltage, External TTL, Acc | External TTL, Software, In-frame (ImageBLITZ)","다이나믹 레인지 (Dinamic Range, 일반/최소)",68.4 dB (typical) | 71.7 dB (typical) | 70.1 dB (typical) | 70.8 dB (typical) | 70.9 dB (typical),Tap geometry,"1X2_1Y, 1X4_1Y, 1X8_1Y, 1X10_1Y | 1X_1Y, 1X2_1Y, 1X4_1Y, 1X8_1Y, 1X10_1Y | 8X_1Y, 10X_1Y | 2X_1Y, 4X_1Y, 8X_1Y, 10X_1Y | 1X2, 1X4, 1X8",Shutter Mode,,,,전송 계층 프로토콜,"UDP (GigE Vision), RDMA (RoCE v2) | UDP (GigE Vision), RDMA (RoCE v2, GigE Vision 3.0) | UDP (GigE Vision), TCP, RDMA (RoCE v2)",,,Features,"Power over Ethernet (PoE) | T2IR | T2IR, Power over Ethernet (PoE) | TurboDrive, T2IR | TurboDrive, T2IR, Power over Camera Link (PoCL)"
카메라 제어 기능,"PTP, RDMA support, User Sets, PWM(4), Sequencer, | PTP, User Sets, POE, PWM(4), Sequencer, | PoCxP, User Sets, PWM(4), Sequencer, | User Sets, POE, PWM(4), Sequencer, | User Sets, PWM(4), Sequencer,",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),40.5 dB (typical) | 40.2 dB (typical) | 39.9 dB (typical) | 39.8 dB (typical) | 45.3 dB (typical),Tap number,"2 Taps, 4 Taps, 8 Taps, 10 Taps | 1 Tap, 2 Taps, 4 Taps, 8 Taps, 10 Taps | 8 Taps, 10 Taps | 2 Taps, 4 Taps, 8 Taps | Mono 8: 2 Taps
RGB 8: 1/2/10 Taps
Bayer RGBG 8: 2/4/8 Taps",Software,,,,GPIO 인터페이스,17핀 M12 커넥터,,,Part Number,L2-GC-02k02B | L2-GM-02K05B-00-A | L2-GC-04k01B | L2-GM-04K02B-00-A | L2-GM-08K02S-00-A
화이트 밸런스 모드,"auto, manual | true | manual, auto",기준,,Pixel clock,"40 MHz, 66 MHz, 80 MHz, 85 MHz | 60 MHz, 70 MHz, 85 MHz | 40 MHz, 60 MHz, 70 MHz, 85 MHz",Certifications,,,,광절연 I/O 포트,"입력 1개, 출력 3개",,,Resolution,2048 x 2 (Bilinear) | 4096 x 2 (Bilinear) | 8192 x 1 SR | 8192 x 2 (Bilinear) | 16384 x 1
다이나믹 레인지,72 dB | 70.5 dB | 81.4 dB | 65 dB | 65.6 dB,FOV (Field of View),,Image buffer,128 MB,Function,,,,비절연 I/O 포트,양방향 포트 2개 또는 TTL/DI 2개,,,Max Line Rate,25 kHz | 50 kHz | 12.5 kHz | 26 kHz / 45 kHz with TurboDrive | 13 kHz / 45 kHz with TurboDrive
SNR,39.12 dB | 39.11 dB | 39.14 dB | 39.13 dB | 39.16 dB,심도(Depth) 이미지 해상도 및 FPS,,Product name,"12 MP 1.1"" CMOS USB3.0 Area Scan Camera",Focal Length,,,,차동 / 단일 입력 포트,RS-422 / HTL / TTL 3개 (그중 1개는 DI로 선택 가능),,,Sensor Model,Teledyne e2v | Teledyne DALSA | Teledyne Photometrics Kinetix Sensor | Teledyne LACera CMOS | Teledyne e2v Emerald 36M
최대 프레임 속도 (버스트),71.9 fps | 16 fps | 41.6 fps | 42.7 fps | 36 fps,측정 방식,,NETD,"< 35 mk (F1.0, 25 °C) | < 50 mk (F1.0, 30 °C)",Light Source Type,,,,산업용 EMC 내성,DIN EN 61000-6-2,,,Pixel Size,14 | 7 | 3.5 SR | 7.04 | 3.52
