brand,product_id,model_name,product_model,camera_type,Product Model,Type,Sensor type,Sensor model,Pixel size,Sensor size,Resolution,Max. frame rate,Dynamic range,SNR,Gain,Exposure time,Exposure mode,Pixel format,Mono/color,Binning,Decimation,Reverse image,Data interface,Data interface type,Control interface,Digital I/O,Power supply,Power consumption,Lens mount,Dimension,Weight,Ingress protection,Temperature,Humidity,Client software,Operating system,Compatibility,Certification,Mono,Quantum efficiency,Dark noise,Signal-to-noise ratio,Saturation capacity,Dimension (without lens),Configuration mode,Tap geometry,Tap number,Pixel clock,Image buffer,Product name,NETD,Response time,Color palettes,Image process,Focal length,Field of view,Min. operation distance,Space resolution,Aperture,Thermal object distance,Temperature measurement range,Temperature measurement accuracy,Max. temperature measurement distance,Installation method,Transmission interface,Power,Vision tool,Max. line rate,Trigger mode,External trigger mode,Image mode,Near field of view,Typical field of view,Far field of view,Clearance distance (CD),Measurement range (MR),Repeatability (Z-axis)*,VDI/VDE accuracy*,Data acquisition time,Image output delay,Data type,Laser safety class,Wavelength,Detection accuracy,Detection speed,Scan frame rate,Depth image detection accuracy
Hikrobot,7811,Galvanometer Laser 3D Camera(MV-RS-Base-S),MV-RS-Base-S,3D Binocular Structured Light,MV-RS-Base-S,Galvanometer Laser 3D Camera(MV-RS-Base-S),,,,,"RGB: 3200 × 1944
Depth: 1632 × 1080",,,,,,,,,,,,Gigabit Ethernet (1000 Mbit/s),,,"12-pin M12 interface provides power and I/O, including opto-isolated input × 3 (Line 0/3/6), opto-isolated output × 3 (Line 1/4/7)",24 VDC,Typ. 15 W @ 24 VDC,,"236.3 mm × 79.8 mm × 98.5 mm (9.3"" × 3.1"" × 3.9"")",Approx. 1.3 kg (2.9 lb.),IP65,"Working temperature: 0 °C to 45 °C (32 °F to 113 °F)
Storage temperature: –30 °C to 80 °C (–22 °F to 176 °F)",20% RH to 85% RH (no condensation),"RobotPilot, HiViewer","32/64-bit Windows 7/10, 64-bit Windows 11",,"RoHS, CE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 mm × 220 mm @ 400 mm,480 mm × 320 mm @ 600 mm,620 mm × 440 mm @ 800 mm,400 mm,400 mm,0.03 mm @ 600 mm,0.05 mm @ 600 mm,0.4 s to 0.9 s,0.8 s to 1.5 s,"Original image (mono and color images), depth image, RGB-D image",Class 2,450 nm,,,,
Hikrobot,7812,Galvanometer Laser 3D Camera(MV-RS-Base-L),MV-RS-Base-L,3D Binocular Structured Light,MV-RS-Base-L,Galvanometer Laser 3D Camera(MV-RS-Base-L),,,,,"RGB: 3200 × 1944
Depth: 1632 × 1264",,,,,,,,,,,,Gigabit Ethernet (1000 Mbit/s),,,"12-pin M12 interface provides power and I/O, including opto-isolated input × 3 (Line 0/3/6), opto-isolated output × 3 (Line 1/4/7)",24 VDC,Typ. 15 W @ 24 VDC,,"456.1 mm × 79.8 mm × 98.5 mm (18.0"" × 3.1"" × 3.9"")",Approx. 1.5 kg (3.3 lb.),IP65,"Working temperature: 0 °C to 45 °C (32 °F to 113 °F)
Storage temperature: –30 °C to 80 °C (–22 °F to 176 °F)",20% RH to 85% RH (no condensation),"RobotPilot, HiViewer","32/64-bit Windows 7/10, 64-bit Windows 11",,"RoHS, CE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640 mm × 600 mm @ 1200 mm,1100 mm × 900 mm @ 1800 mm,1220 mm × 1000 mm @ 2200 mm,1200 mm,1000 mm,0.08 mm @ 1800 mm,0.15 mm @ 1800 mm,0.4 s to 0.9 s,0.8 s to 1.5 s,"Original image (mono and color images), depth image, RGB-D image",Class 2,638 nm,,,,
Hikrobot,7813,Galvanometer Laser 3D Camera(MV-RS-Pro-XL),MV-RS-Pro-XL,3D Binocular Structured Light,MV-RS-Pro-XL,Galvanometer Laser 3D Camera(MV-RS-Pro-XL),,,,,"RGB: 3968 × 3000
Depth: 1920 × 1536",,,,,,,,,,,,Gigabit Ethernet (1000 Mbit/s),,,"12-pin M12 interface provides power and I/O, including opto-isolated input × 3 (Line 0/3/6), opto-isolated output × 3 (Line 1/4/7)",24 VDC,Typ. 16 W @ 24 VDC,,"510.1 mm × 79.8 mm × 98.5 mm (20.1"" × 3.1"" × 3.9"")",Approx. 1.68 kg (3.7 lb.),IP65,"Working temperature: 0 °C to 45 °C (32 °F to 113 °F)
Storage temperature: –30 °C to 80 °C (–22 °F to 176 °F)",20% RH to 85% RH (no condensation),"RobotPilot, HiViewer","32/64-bit Windows 7/10, 64-bit Windows 11",,"RoHS, CE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360 mm × 1200 mm @ 1500 mm,2200 mm × 2000 mm @ 2500 mm,3200 mm × 2800 mm @ 3500 mm,1500 mm,2000 mm,0.2 mm @ 2500 mm,0.3 mm @ 2500 mm,0.4 s to 0.9 s,0.9 s to 1.6 s,"Original image (mono and color images), depth image, RGB-D image",Class 2,638 nm,,,,
Hikrobot,7862,Line Laser 3D Camera,MV-DL2125-04H-R,3D Line Laser Camera,MV-DL2125-04H-R,Line Laser 3D Camera,,,,,,,,,,,,,,,,,Gigabit Ethernet (1000 Mbit/s),,,"12-pin M12 interface provides I/O, including opto-isolated input × 3 (Line 0/3/6), opto-isolated output × 3 (Line 1/4/7), RS-232 × 1.",12 VDC to 24 VDC,Typ. 10 W @ 12 VDC,,"354.1 mm × 65 mm × 123.4 mm (13.9"" × 2.6"" × 4.9"")",1.6 kg (3.5 lb.),,"Working temperature: 0 °C to 45 °C (32 °F to 113 °F)
Storage temperature: –30 °C to 80 °C (–22 °F to 176 °F)","20%RH to 85% RH, no condensation","3DMVS, CodePlatform",32/64-bit Windows 7/10,,CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"External trigger, encoder trigger (max. 15 KHz trigger signal supported)",,,1000 mm,,2600 mm,700 mm,1000 mm,,,,,"Point cloud data, length/width/height, integral volume, peak coordinates, depth image",Class 3B,,± 5 mm (regular object),3 m/s @ ±5 mm detection accuracy,600 fps @ 1 m3 measurement range,
Hikrobot,8163,RGB-D Camera,HBC-PY-HE768L,3D RGB-D Smart Camera,HBC-PY-HE768L,RGB-D Camera,,,,,1280 ×720 @30 fps<br/>640 ×360 @30 fps,30 fps,,,,,,,,,,,"USB3.0, compatible with USB2.0",,,,5 VDC (USB3.0 provides power supply),Typ. 4.5 W @5 VDC (USB3.0 provides power supply),,91 mm ×26 mm ×31 mm,Approx. 170 g,,Working temperature: 0 °C to 45 °C<br/>Storage temperature: -30 °C to 80 °C,"20% to 85% RH, non-condensing","3DMVS, Qt_Viewer",32/64-bit Windows 7/10,,"CE, RoHS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310 mm ×210 mm,,9200 mm ×5200 mm,200 mm,4800 mm,,,,,RGB image and Depth image,Class 1,,,,,Accuracy: 1.5% @0.2 m to 3 m<br/>Voidage: < 0.2%
