brand	model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Hikrobot	MV-CT2CG0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MG0032/G/16LC/WN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0032/G/16LC/WN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,39.0,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MU0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,104.8,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,109,42,42,43
Hikrobot	MV-CT2CU0032/G/NN/NN,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,104.8,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,109,42,42,43
Hikrobot	MV-CT0MG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT1CU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,70,29,29,30
Hikrobot	MV-CT1MU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,70,29,29,30
Hikrobot	MV-CT2MG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MG0050/G/16LC/WN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0050/G/16LC/WN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,109,42,42,43
Hikrobot	MV-CT2CU0050/G/NN/NN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,109,42,42,43
Hikrobot	MV-CT2MU0050/G/16LC/WN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,,,,,,,C-mount,"USB3, USB2",,,CMOS,,,,
Hikrobot	MV-CT2CU0050/G/16LC/WN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,,,,,,,C-mount,"USB3, USB2",,,CMOS,,,,
Hikrobot	MV-CT0MG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,60.9,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,60.9,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0060/R/NN/NN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2CG0060/R/16LC/WN,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT0MG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT1MU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,70,29,29,30
Hikrobot	MV-CT1CU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,70,29,29,30
Hikrobot	MV-CT2MG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,13.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,109,42,42,43
Hikrobot	MV-CT2CU0089/G/NN/NN,area,,,,,"1""",8.85,4096.0,2160.0,3.45,3.45,global,42.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,109,42,42,43
Hikrobot	MV-CT0MG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MG0120/G/16LC/WN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0120/G/16LC/WN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT1MU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,70,29,29,30
Hikrobot	MV-CT1CU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,70,29,29,30
Hikrobot	MV-CT2MU0120/G/16LC/WN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,,,,,,,C-mount,"USB3, USB2",,,CMOS,,,,
