brand	model_name,camera_type,sensor_name,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Hikrobot	MV-CT2CU0120/G/16LC/WN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,,,,,,,C-mount,"USB3, USB2",,,CMOS,,,,
Hikrobot	MV-CT0MG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer BG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT1MG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer BG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0120/R/NN/NN,area,,,,,"1/1.56""",12.39,4096.0,3024.0,2.0,2.0,rolling,9.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer BG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,109,42,42,43
Hikrobot	MV-CT2CU0120/G/NN/NN,area,,,,,"1.1""",12.29,4096.0,3000.0,3.45,3.45,global,31.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,109,42,42,43
Hikrobot	MV-CT0MG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,116,29,29,42
Hikrobot	MV-CT0CG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,116,29,29,42
Hikrobot	MV-CT0MU0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,19.3,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,72,29,29,30
Hikrobot	MV-CT0CU0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,19.3,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,72,29,29,30
Hikrobot	MV-CT1MG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,124,29,29,42
Hikrobot	MV-CT1CG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,124,29,29,42
Hikrobot	MV-CT2MG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0200/R/NN/NN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CT2MG0200/R/16LC/WN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,120,42,42,43
Hikrobot	MV-CT2CG0200/R/16LC/WN,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,120,42,42,43
Hikrobot	MV-CS004-10GM,area,IMX297,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,125.2,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS004-10GC,area,IMX297,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,125.2,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS004-10UM,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,526.5,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS004-10UM V5,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,525.5,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS004-10UC,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,526.5,,,,,,C-mount,"USB3, USB2",,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS004-10UC V5,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,530.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS004-11GM,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,312.9,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS004-11GC,area,IMX287,Sony,,,"1/2.9""",0.39,720.0,540.0,6.9,6.9,global,312.9,,,,,,C-mount,GigE,,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS013-60GN,area,,,,,"2/3""",1.25,1224.0,1024.0,6.9,6.9,global,59.2,,NIR,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS016-10GM,area,IMX296,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,65.2,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS016-10GC,area,IMX296,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,65.2,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS016-10UM,area,IMX273,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.1,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS016-10UM V5,area,IMX273,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.1,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS016-10UC,area,IMX273,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.1,,,,,,C-mount,"USB3, USB2",,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS016-10UC V5,area,IMX273,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,249.1,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS016-11GM,area,IMX273,Sony,,,"1/2.9""",1.56,1440.0,1080.0,3.45,3.45,global,78.2,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS020-10GM,area,IMX430,Sony,,,"1/1.7""",2.01,1624.0,1240.0,4.5,4.5,global,60.0,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS020-10GC,area,IMX430,Sony,,,"1/1.7""",2.01,1624.0,1240.0,4.5,4.5,global,60.0,,,,,,C-mount,GigE,,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS020-10UM,area,IMX430,Sony,,,"1/1.7""",2.01,1624.0,1240.0,4.5,4.5,global,90.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS020-10UC,area,IMX430,Sony,,,"1/1.7""",2.01,1624.0,1240.0,4.5,4.5,global,90.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS020-60GM,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,"Mono, Color",,,,C-mount,GigE,,"Mono 8/10/10Packed/12/12Packed,Mono 8/10/12,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS020-60GC,area,,,,,"1/2.53""",2.01,1624.0,1240.0,3.45,3.45,global,60.3,,"Mono, Color",,,,C-mount,GigE,,"Mono 8/10/10Packed/12/12Packed,Mono 8/10/12,, Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS023-10GM,area,IMX249,Sony,,,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,41.0,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS023-10GC,area,IMX249,Sony,,,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,41.0,,,,,,C-mount,GigE,,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS023-10UM,area,IMX249,Sony,,,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,41.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,78,29,29,30
Hikrobot	MV-CS023-10UC,area,IMX249,Sony,,,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,41.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,78,29,29,30
Hikrobot	MV-CS028-10UM,area,IMX421,Sony,,,"2/3""",2.83,1936.0,1464.0,4.5,4.5,global,132.2,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS032-10GM,area,IMX265,Sony,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.1,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS032-10GC,area,IMX265,Sony,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.1,,Color,,,Color,C-mount,GigE,,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS032-60GM,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.6,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS032-60GM V5,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.9,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS032-60GC,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.6,,Color,,,Color,C-mount,GigE,,"Mono 8/10/12,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS032-60GC V5,area,,,,,"1/1.8""",3.15,2048.0,1536.0,3.45,3.45,global,38.9,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS040-A0UM,area,,,,,"1""",4.19,2048.0,2048.0,5.5,5.5,global,90.1,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,88,29,29,30
Hikrobot	MV-CS040-A0UC,area,,,,,"1""",4.19,2048.0,2048.0,5.5,5.5,global,90.1,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8/10/12, , Bayer GB 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,88,29,29,30
Hikrobot	MV-CS050-10GM,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.2,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-10GC,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.2,,,,,,C-mount,GigE,,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed, , YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS050-10GM-PRO,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.2,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS050-10GC-PRO,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.2,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS050-10UM,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS050-10UC,area,IMX264,Sony,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,,,,,C-mount,"USB3, USB2",,"Mono 8/10/12, , Bayer RG 8/10/10Packed/12/12Packed,, YUV422_YUYV_Packed, YUV 422 Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS050-20GM,area,XGS5000,onsemi,,,"2/3""",5.31,2592.0,2048.0,3.2,3.2,global,22.7,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-20GC,area,XGS5000,onsemi,,,"2/3""",5.31,2592.0,2048.0,3.2,3.2,global,22.7,,,,,,C-mount,GigE,,"Mono 8/10/12,, Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS050-60GM,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,23.0,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-60GM V5,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.4,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-60GC,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,23.0,,Color,,,Color,C-mount,GigE,,"Mono 8/10/12, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS050-60GC V5,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.4,,Color,,,Color,C-mount,GigE,,"Mono 8, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS050-60GN,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,23.0,,NIR,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-60UM,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS050-60UM V5,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,"Mono, Color",,,,C-mount,"USB3, USB2",,"Mono 8/10/10Packed/12/12Packed, Mono 8, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS050-60UC,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8/10/12, , Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS050-60UC V5,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,60.0,,"Mono, Color",,,,C-mount,"USB3, USB2",,"Mono 8/10/10Packed/12/12Packed, Mono 8, Bayer GR 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS050-80GM,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.0,,,,,,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,102,29,29,42
Hikrobot	MV-CS050-80GC,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,24.0,,,,,,C-mount,GigE,,"Mono 8, Bayer BG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,102,29,29,42
Hikrobot	MV-CS050-80UM,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,87,29,29,30
Hikrobot	MV-CS050-80UC,area,,,,,"2/3""",5.01,2448.0,2048.0,3.45,3.45,global,80.0,,,,,,C-mount,"USB3, USB2",,"Mono 8, Bayer BG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,87,29,29,30
Hikrobot	MV-CS050-90GM,area,GMAX3405,,,,"2/3""",5.01,2448.0,2048.0,3.4,3.4,global,24.2,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS050-90GC,area,GMAX3405,,,,"2/3""",5.01,2448.0,2048.0,3.4,3.4,global,24.2,,Color,,,Color,C-mount,GigE,,"Mono 8/10/12, Bayer GB 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS060-10GM,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.1,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS060-10GM V5,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS060-10GC,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.1,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS060-10GC V5,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.5,,Color,,,Color,C-mount,GigE,,"Mono 8,, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS060-10GM-PRO,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.1,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS060-10GC-PRO,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,19.1,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS060-10UM,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,60.9,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS060-10UC,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,60.9,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS060-10UM-PRO,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,59.6,,,,,,C-mount,"USB3, USB2",,"Mono 8/10/12, Bayer RG 8/10/10p/12/12p,, YUV422Packed, YUV422_YUYV_Packed, RGB, 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS060-10UC-PRO,area,IMX178,Sony,,,"1/1.8""",6.29,3072.0,2048.0,2.4,2.4,rolling,59.6,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10p/12/12p,CMOS,80,29,29,30
Hikrobot	MV-CS120-10GM V5,area,IMX226,Sony,,,"1/1.7”""",12.22,4024.0,3036.0,1.85,1.85,rolling,10.0,,Mono,,,Mono,C-mount,GigE,,Mono 8/10/10Packed/12/12Packed,CMOS,100,29,29,42
Hikrobot	MV-CS120-10GC V5,area,IMX226,Sony,,,"1/1.7”""",12.22,4024.0,3036.0,1.85,1.85,rolling,10.0,,Color,,,Color,C-mount,GigE,,"Mono 8, Bayer RG 8/10/10Packed/12/12Packed,, YUV422Packed, YUV422_YUYV_Packed,, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS120-10UM,area,IMX226,Sony,,,"1/1.7""",12.22,4024.0,3036.0,1.85,1.85,rolling,29.4,,Mono,,,Mono,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
Hikrobot	MV-CS120-10UC,area,IMX226,Sony,,,"1/1.7""",12.22,4024.0,3036.0,1.85,1.85,rolling,29.4,,Color,,,Color,C-mount,"USB3, USB2",,"Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,80,29,29,30
Hikrobot	MV-CS200-10GM,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,,,,,C-mount,GigE,,Mono 8/10/10p/12/12p,CMOS,100,29,29,42
Hikrobot	MV-CS200-10GC,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,,,,,C-mount,GigE,,"Mono 8/10/12, Bayer GB 8/10/10p/12/12p, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS200-10GM V5,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,,,,,C-mount,GigE,,"Mono 8/10/10Packed/12/12Packed, Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS200-10GC V5,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,5.9,,,,,,C-mount,GigE,,"Mono 8/10/10Packed/12/12Packed, Mono 8, Bayer RG 8/10/10Packed/12/12Packed, YUV422Packed, YUV422_YUYV_Packed, RGB 8, BGR 8",CMOS,100,29,29,42
Hikrobot	MV-CS200-10UM,area,IMX183,Sony,,,"1""",19.96,5472.0,3648.0,2.4,2.4,rolling,19.2,,,,,,C-mount,"USB3, USB2",,Mono 8/10/10Packed/12/12Packed,CMOS,80,29,29,30
