brand,model_name,slug,제조 업체,주문 번호,카메라 카테고리,카메라 시리즈,보증 (Warranty),센서 공급업체,센서,셔터,센서 타입,해상도 (HxV),픽셀 사이즈 HxV,라인 속도,모노크롬/컬러,빛스펙트럼,인터페이스,픽셀 비트 깊이,동기화,카메라 I/O 커넥터,전원 공급,하우징 종류,보호 등급,하우징 ‍사이즈 (L x W x H),무게 (Weight),렌즈 마운트,작동 온도,Basler,Conformity,제품군,제품 라인,센서 포맷,센서 대각선 길이,센서 크기,프레임 속도,카메라 데이터 커넥터,이미지 데이터 인터페이스,노출 제어,디지털 입력,범용 I/O,전원 요구사항 (일반적),측정된,양자 효율 (일반/최소),다크 노이즈 (일반/최대),포화 용량 (일반/최소),"다이나믹 레인지 (Dinamic Range, 일반/최소)",신호 대 노이즈비 (Signal to Noise Ratio)(일반/최소),기준,FOV (Field of View),심도(Depth) 이미지 해상도 및 FPS,측정 방식,"에고 모션(Ego-motion, IMU)",작업 범위,운영 체제,양산,소모 전력 PoE,해상도,디지털 출력,작동 중 주변 온도,Compression Beyond 사용시 프레임 속도,비디오 출력 유형,Camera Link ‍Clock,파장 (Wavelength),스트리밍 형식,정확도( Accuracy),템포럴 노이즈,지연 (Latency),조명 (Illumination),햇빛에서의 내구성,데이터 커넥터,전원 공급 장치,구성 요소,표준,프로그래밍 언어,타사 지원,마운팅 포인트,하우징 대체품,‍이미지 처리,양자 효율 - 녹색 (일반/최소),양자 효율 - 파란색 (일반/최소),양자 효율 - 빨간색 (일반/최소),납품 범위,심도(Depth) 해상도,작업 공간,초점 거리,프로세서 제조업체,수평 해상도(X축),높이 해상도 (Z축),배율,광원,이격 거리 (Clearance Distance),Heliotis,반복정밀도 (Z축),레이저 등급,Z축 선형성(+/- % of MR),스캔 속도,데이터포인트/프로파일,측정 거리,LMI,JAI
Basler,LMILMI Sensor Gocator 2540,lmi-sensor-gocator-2540,LMI,2723,3D 카메라,LMI Gocator 2500,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 195 mm x 55 mm,1480 g,,,,,,,,,,,,,,,,,,,,,,,,120 - 292 mm (diffuse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 - 160 μm,,,"Blue laser (405 nm), Red laser (660 nm)",152 mm,,1.2 nm,"2, 3R, 3B",0.05 %,approx. 1.7 kHz - 20 kHz,1920.0,295 mm,,
Basler,LMILMI Sensor Gocator 5516,lmi-sensor-gocator-5516,LMI,2739,3D 카메라,LMI Gocator 5500,,,,,Line Confocal Sensor,,,,Mono,,GigE,,,,,,,358 mm x 440 mm x 113 mm,21000 g,,,,,,,,,,,,,,,,,,,,,,,,17 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9 μm,,,Polychromatic Light Source,61.3 mm,,0.42 nm,,0.42 %,approx. 3.8 kHz - 38 kHz,1792.0,5.5 mm,,
Basler,LMILMI Sensor Gocator 2629,lmi-sensor-gocator-2629,LMI,2727,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 165 mm x 55 mm,1340 g,,,,,,,,,,,,,,,,,,,,,,,,71 - 93 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 23 μm,,,"Blue laser (405 nm), Red laser (660 nm)",110 mm,,0.3 nm,"2, 3R, 3B",0.03 %,approx. 2.5 kHz - 9 kHz,4192.0,45 mm,,
Basler,LMILMI Sensor Gocator 4010,lmi-sensor-gocator-4010,LMI,2733,3D 카메라,LMI Gocator 4000,,,,,Area Sensor,,,,Mono,,GigE,,,,,,,82 mm x 459 mm x 183 mm,1040 g,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 μm,,,White LED,9.3 ±0.2 mm,,0.12 nm,,0.04 %,approx. 4.3 kHz - 34 kHz,1920.0,1.05 mm,,
Basler,LMILMI Sensor Gocator 2640,lmi-sensor-gocator-2640,LMI,2729,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 195 mm x 55 mm,1480 g,,,,,,,,,,,,,,,,,,,,,,,,105 - 198 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 - 46 μm,,,"Blue laser (405 nm), Red laser (660 nm)",170 mm,,1 nm,"2, 3R, 3B",0.04 %,approx. 0.6 kHz - 9 kHz,4192.0,190 mm,,
Basler,LMILMI Sensor Gocator 5512,lmi-sensor-gocator-5512,LMI,2738,3D 카메라,LMI Gocator 5500,,,,,Line Confocal Sensor,,,,Mono,,GigE,,,,,,,354 mm x 419 mm x 91 mm,9000 g,,,,,,,,,,,,,,,,,,,,,,,,11.6 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5 μm,,,Polychromatic Light Source,19.1 mm,,0.17 nm,,0.17 %,approx. 4.2 kHz - 40 kHz,1792.0,3 mm,,
Basler,LMILMI Sensor Gocator 2690,lmi-sensor-gocator-2690,LMI,2732,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 280 mm x 55 mm,2120 g,,,,,,,,,,,,,,,,,,,,,,,,385 - 2000 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124 - 550 μm,,,Red laser (660 nm),325 mm,,12 nm,"2, 3R",0.08 %,approx. 0.9 kHz - 10 kHz,3700.0,1550 mm,,
Basler,LMILMI Sensor Gocator 2618,lmi-sensor-gocator-2618,LMI,2726,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,80 mm x 110 mm x 46 mm,650 g,,,,,,,,,,,,,,,,,,,,,,,,20 - 23 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0 - 5.4 μm,,,Blue laser (405 nm),44.5 mm,,0.38 nm,"2, 3R, 3B",0.015 %,approx. 0.7 kHz - 10 kHz,4192.0,12 mm,,
Basler,LMILMI Sensor Gocator 2630,lmi-sensor-gocator-2630,LMI,2728,3D 카메라,LMI Gocator 2600,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 165 mm x 55 mm,1340 g,,,,,,,,,,,,,,,,,,,,,,,,71 - 135 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 33 μm,,,"Blue laser (405 nm), Red laser (660 nm)",110 mm,,0.3 nm,"2, 3R, 3B",0.03 %,approx. 0.6 kHz - 9 kHz,4192.0,130 mm,,
Basler,LMILMI Sensor Gocator 2550,lmi-sensor-gocator-2550,LMI,2724,3D 카메라,LMI Gocator 2500,,,,,Line Sensor,,,,Mono,,GigE,,,,,,,105 mm x 195 mm x 55 mm,1480 g,,,,,,,,,,,,,,,,,,,,,,,,154 - 518 mm (diffuse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 - 270 μm,,,"Blue laser (405 nm), Red laser (660 nm)",216 mm,,2 nm,"2, 3R, 3B",0.06 %,approx. 1.8 kHz - 20 kHz,1920.0,595 mm,,
Basler,LMILMI Sensor Gocator 5504,lmi-sensor-gocator-5504,LMI,2737,3D 카메라,LMI Gocator 5500,,,,,Line Confocal Sensor,,,,Mono,,GigE,,,,,,,190 mm x 303 mm x 60 mm,5000 g,,,,,,,,,,,,,,,,,,,,,,,,4.3 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 μm,,,Polychromatic Light Source,7.8 mm,,0.07 nm,,0.07 %,approx. 2.1 kHz - 39 kHz,1792.0,1.1 mm,,
Basler,LMILMI Sensor Gocator 4020,lmi-sensor-gocator-4020,LMI,2735,3D 카메라,LMI Gocator 4000,,,,,Area Sensor,,,,Mono,,GigE,,,,,,,82 mm x 428 mm x 183 mm,960 g,,,,,,,,,,,,,,,,,,,,,,,,5.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 μm,,,White LED,27.8 ±0.3 mm,,0.25 nm,,0.02 %,approx. 4.5 kHz - 36 kHz,1920.0,2.5 mm,,
Basler,LMILMI Sensor Gocator 4021,lmi-sensor-gocator-4021,LMI,2736,3D 카메라,LMI Gocator 4000,,,,,Area Sensor,,,,Mono,,GigE,,,,,,,82 mm x 428 mm x 183 mm,960 g,,,,,,,,,,,,,,,,,,,,,,,,5.0 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6 μm,,,White LED,27.8 ±0.3 mm,,0.2 nm,,0.02 %,approx. 4.5 kHz - 36 kHz,1920.0,2.5 mm,,
Basler,LMILMI Sensor Gocator 4011,lmi-sensor-gocator-4011,LMI,2734,3D 카메라,LMI Gocator 4000,,,,,Area Sensor,,,,Mono,,GigE,,,,,,,82 mm x 459 mm x 183 mm,1040 g,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 μm,,,White LED,9.3 ±0.2 mm,,0.1 nm,,0.04 %,approx. 4.3 kHz - 34 kHz,1920.0,1.05 mm,,
