brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	a2A2448-23gmIP67	area,IMX547,Sony,,,8.75,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,23.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A1920-51gmIP67	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,51.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A1920-51gcIP67	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,51.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A2448-23gcIP67	area,IMX547,Sony,,,8.75,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,23.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A4096-9gmIP67	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,9.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A2840-14gmIP67	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A2840-14gcIP67	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A5328-4gmIP67	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A4504-5gcIP67	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,5.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A5320-7gmIP67	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,7.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A5328-4gcIP67	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A5320-7gcIP67	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,7.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	a2A4504-5gmIP67	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,5.0,,Visible,,,,C-mount,GigE,,,CMOS,72,31,31,55.5
Basler	r2L16384-120cm	line,GL3516,Gpixel,,,,,,16384.0,2.0,3.5,3.5,global,,120.0,Visible,,,,M72x0.75,CoaXPress,,,CMOS,420,80,90,36
Basler	r2L8192-80cc	line,GL7008,Gpixel,,,,,,8192.0,4.0,7.0,7.0,global,,80.0,Visible,,,,M72x0.75,CoaXPress,,,CMOS,420,80,90,36
Basler	r2L16384-60cc	line,GL3516,Gpixel,,,,,,16384.0,2.0,3.5,3.5,global,,60.0,Visible,,,,M72x0.75,CoaXPress,,,CMOS,420,80,90,36
Basler	r2L8192-240cm	line,GL7008,Gpixel,,,,,,8192.0,4.0,7.0,7.0,global,,240.0,Visible,,,,M72x0.75,CoaXPress,,,CMOS,420,80,90,36
Basler	a2A2560-131cmSWIR	area,IMX992,Sony,,,11.31,"1/1,4""",5.2,2560.0,2048.0,3.45,3.45,global,131.0,,"Visible, SWIR",,,,C-mount,CoaXPress,,,InGaAs,90,29,29,42.8
Basler	a2A2048-173cmSWIR	area,IMX993,Sony,,,8.86,"1/1.8""",3.1,2048.0,1536.0,3.45,3.45,global,173.0,,"Visible, SWIR",,,,C-mount,CoaXPress,,,InGaAs,90,29,29,42.8
Basler	acA3800-10gm	area,MT9J003,onsemi,,,7.93,"1/2.3""",10.0,3840.0,2748.0,1.67,1.67,rolling,10.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A2048-37gmPRO	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,37.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	a2A2048-37gcBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,37.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2048-114g5cBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,5GigE,,,CMOS,105,29,29,55.5
Basler	a2A2048-114umPRO	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	a2A2048-37gmBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,37.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A2048-114ucBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2048-37gcPRO	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,37.0,,"Visible, NIR",,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	a2A2048-114umBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2048-114g5mBAS	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,5GigE,,,CMOS,105,29,29,55.5
Basler	a2A2048-114ucPRO	area,IMX900,Sony,,,5.76,"1/3.1""",3.2,2048.0,1536.0,2.25,2.25,global,114.0,,"Visible, NIR",,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	dmA4096-9gc (Color)	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,9.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA2448-23gm (Mono)	area,IMX547,Sony,,,8.75,"1/1.8""",5.1,2448.0,2048.0,2.74,2.74,global,23.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA4096-9gm (Mono)	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,9.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
Basler	dmA2840-14gm (Mono)	area,IMX546,Sony,,,11.0,"2/3""",8.3,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,No Mount,GigE,,,CMOS,14,27,13.9,27
