brand	model_name	camera_type,sensor_name,_basler_vendor,sensor_brand,sensor_extra,sensor_size_mm,sensor_size_inch,resolution_mp,resolution_w,resolution_h,pixel_size_h,pixel_size_v,shutter,frame_rate,line_rate,spectrum,spectrum_min_nm,spectrum_max_nm,sensor_color,lens_mount,interface,interface_power,pixel_format,sensor_architecture,weight_g,dimension_w,dimension_h,dimension_l
Basler	acA720-290gc	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,291.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	daA1600-60um (No-Mount)	area,EV76C570,e2v,,,9.0,"1/1.8""",,1600.0,1200.0,4.5,4.5,,60.0,,Visible,,,,,USB3,,,CMOS,5,27,27,7.2
Basler	acA2040-25gc	area,CMV4000,ams,,,15.92,"1""",4.0,2048.0,2048.0,5.5,5.5,global,25.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	boA5120-150cc	area,GMAX0505,Gpixel,,,18.1,"1.1""",25.0,5120.0,5120.0,2.5,2.5,global,150.0,,Visible,,,,,CoaXPress,,,CMOS,400,65,65,71
Basler	daA4200-30mci (No-Mount)	area,AR1335,onsemi,,,5.76,"1/3""",13.0,4208.0,3120.0,1.1,1.1,rolling,30.0,,Visible,,,,No Mount,BCON for MIPI,,,CMOS,5,27,27,5.3
Basler	daA1600-60uc (No-Mount)	area,EV76C570,e2v,,,9.0,"1/1.8""",,1600.0,1200.0,4.5,4.5,,60.0,,Visible,,,,,USB3,,,CMOS,5,27,27,7.2
Basler	acA2040-180kc	area,CMV4000,ams,,,15.92,"1""",4.0,2048.0,2048.0,5.5,5.5,global,180.0,,Visible,,,,C-mount,Camera Link,,,CMOS,100,29,29,43.5
Basler	daA1280-54uc (S-Mount)	area,AR0134,onsemi,,,6.0,"1/3""",,1280.0,960.0,3.75,3.75,global,54.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	daA1440-220um (No-Mount)	area,IMX273,Sony,,,6.21,"1/2.9""",,1440.0,1080.0,3.45,3.45,global,227.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	boA6500-36cm	area,XGS 32000,onsemi,,,26.28,,32.4,6580.0,4935.0,3.2,3.2,global,35.0,,Visible,,,,"F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,525,80,80,49.1
Basler	boA2448-250cm	area,IMX537,Sony,,,8.73,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,250.0,,Visible,,,,"C-mount, F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,525,80,80,45
Basler	MED ace 8.9 MP 32 color	area,IMX267,Sony,,,15.97,"1""",9.0,4096.0,2160.0,3.45,3.45,global,32.0,,Visible,,,,C-mount,USB3,,,CMOS,80,40,30,35.8
Basler	a2A3840-45ucBAS	area,IMX334,Sony,,,8.82,"1/1.8""",8.3,3840.0,2160.0,2.0,2.0,rolling,45.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	acA4112-20um	area,IMX304,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,23.0,,Visible,,,,C-mount,USB3,,,CMOS,136,40,30,35.8
Basler	a2A5320-23ucPRO	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,23.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	daA1600-60um (CS-Mount)	area,EV76C570,e2v,,,9.0,"1/1.8""",,1600.0,1200.0,4.5,4.5,,60.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA2000-340kc	area,CMV2000,ams,,,12.75,"2/3""",2.0,2046.0,1086.0,5.5,5.5,global,340.0,,Visible,,,,C-mount,Camera Link,,,CMOS,100,29,29,43.5
Basler	acA720-520um	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,525.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA2440-75uc	area,IMX250,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,75.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA4112-8gm	area,IMX304,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,8.0,,Visible,,,,C-mount,GigE,,,CMOS,150,40,30,50
Basler	acA1920-48gc	area,PYTHON 2000,onsemi,,,10.87,"2/3""",2.3,1920.0,1200.0,4.8,4.8,global,50.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4504-5gcPRO	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,5.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	acA3088-16gm	area,IMX178,Sony,,,8.91,"1/1.8""",6.0,3088.0,2064.0,2.4,2.4,rolling,16.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4200-12gcBAS	area,GMAX2509,Gpixel,,,11.83,"2/3""",9.1,4200.0,2160.0,2.5,2.5,global,12.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	MED ace 12.3 MP 30 mono	area,IMX253,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,30.0,,Visible,,,,C-mount,USB3,,,CMOS,80,40,30,35.8
Basler	acA1920-150uc	area,PYTHON 2000,onsemi,,,10.87,"2/3""",2.3,1920.0,1200.0,4.8,4.8,global,150.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A2448-75ucPRO	area,IMX547,Sony,,,8.75,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,75.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	acA1920-25gc	area,MT9P031,onsemi,,,4.84,"1/3.7""",2.0,1920.0,1080.0,2.2,2.2,rolling,25.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A2840-48ucBAS	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,48.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	alA3800-8gc	area,MT9J003,onsemi,,,7.93,"1/2.3""",10.0,3840.0,2748.0,1.67,1.67,rolling,8.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	daA720-520uc (No-Mount)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,523.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	boA5120-230cm	area,GSPRINT4521,Gpixel,,,29.45,,21.0,5120.0,4096.0,4.5,4.5,global,230.0,,Visible,,,,,CoaXPress,,,CMOS,400,65,65,76
Basler	acA1440-73gm	area,IMX273,Sony,,,6.21,"1/2.9""",1.6,1440.0,1080.0,3.45,3.45,global,73.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	boA5320-150cc	area,IMX532,Sony,,,16.79,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,150.0,,Visible,,,,"C-mount, F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,525,80,80,45
Basler	daA3840-30mc (No-Mount) - Tray (40pcs)	area,AR0821,onsemi,,,9.27,"1/1.8""",8.0,3840.0,2160.0,2.1,2.1,rolling,30.0,,Visible,,,,No Mount,BCON for MIPI,,,CMOS,5,27,27,5.3
Basler	daA720-520uc (S-Mount)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,523.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA4112-30um	area,IMX253,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,30.0,,Visible,,,,C-mount,USB3,,,CMOS,136,40,30,35.8
Basler	acA2440-35uc	area,IMX264,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,35.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA2040-55um	area,IMX265,Sony,,,8.84,"1/1.8""",3.0,2048.0,1536.0,3.45,3.45,global,55.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A4508-6gmBAS	area,GMAX2518,Gpixel,,,15.23,"1""",18.4,4508.0,4096.0,2.5,2.5,global,6.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	acA2000-50gc	area,CMV2000,ams,,,12.75,"2/3""",2.0,2046.0,1086.0,5.5,5.5,global,50.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4200-40umPRO	area,GMAX2509,Gpixel,,,11.83,"2/3""",9.1,4200.0,2160.0,2.5,2.5,global,40.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	acA4024-8gm	area,IMX226,Sony,,,9.32,"1/1.7""",12.2,4024.0,3036.0,1.85,1.85,rolling,8.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4508-20umPRO	area,GMAX2518,Gpixel,,,15.23,"1""",18.4,4508.0,4096.0,2.5,2.5,global,20.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	daA1280-54um (S-Mount)	area,AR0134,onsemi,,,6.0,"1/3""",,1280.0,960.0,3.75,3.75,global,54.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	a2A2448-105g5cBAS	area,IMX547,Sony,,,8.75,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,106.0,,Visible,,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A2840-14gmPRO	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A4200-40umBAS	area,GMAX2509,Gpixel,,,11.83,"2/3""",9.1,4200.0,2160.0,2.5,2.5,global,40.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	MED ace 12.3 MP 30 color	area,IMX253,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,30.0,,Visible,,,,C-mount,USB3,,,CMOS,80,40,30,35.8
Basler	a2A5328-4gcPRO	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	MED ace 2.3 MP 164 color	area,IMX174,Sony,,,13.35,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,164.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	MED ace 8.9 MP 42 mono	area,IMX255,Sony,,,15.97,"1""",9.0,4096.0,2160.0,3.45,3.45,global,42.0,,Visible,,,,C-mount,USB3,,,CMOS,80,40,30,35.8
Basler	daA2500-14um (S-Mount)	area,MT9P031,onsemi,,,7.13,"1/2.5""",,2592.0,1944.0,2.2,2.2,rolling,14.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	daA3840-45uc (CS-Mount)	area,IMX334,Sony,,,8.81,"1/1.8""",,3840.0,2160.0,2.0,2.0,rolling,45.0,,Visible,,,,,USB3,,,CMOS,5,29.3,29,19.9
Basler	acA2500-14uc	area,MT9P031,onsemi,,,7.13,"1/2.5""",5.0,2590.0,1942.0,2.2,2.2,rolling,14.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A5328-15umBAS	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,15.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2590-22gcPRO	area,IMX334,Sony,,ROI,6.5,"1/2.8""",5.0,2592.0,1944.0,2.0,2.0,rolling,22.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	acA1920-150um	area,PYTHON 2000,onsemi,,,10.87,"2/3""",2.3,1920.0,1200.0,4.8,4.8,global,150.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA3088-57uc	area,IMX178,Sony,,,8.91,"1/1.8""",6.0,3088.0,2064.0,2.4,2.4,rolling,59.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A4504-27g5mBAS	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,27.0,,Visible,,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A5320-7gcBAS	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,7.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A5328-4gmPRO	area,IMX540,Sony,,,19.26,"1.2""",24.4,5328.0,4608.0,2.74,2.74,global,4.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	acA1440-220uc	area,IMX273,Sony,,,6.21,"1/2.9""",1.6,1440.0,1080.0,3.45,3.45,global,227.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	daA1920-160um (No-Mount)	area,IMX392,Sony,,,7.77,"1/2.3""",,1920.0,1200.0,3.45,3.45,global,160.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	daA2500-14uc (S-Mount)	area,MT9P031,onsemi,,,7.13,"1/2.5""",,2592.0,1944.0,2.2,2.2,rolling,14.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	daA1280-54uc (No-Mount)	area,AR0134,onsemi,,,6.0,"1/3""",,1280.0,960.0,3.75,3.75,global,54.0,,Visible,,,,,USB3,,,CMOS,5,27,27,7.2
Basler	a2A1920-160umPRO	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,160.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	a2A3840-13gmPRO	area,IMX334,Sony,,,8.82,"1/1.8""",8.3,3840.0,2160.0,2.0,2.0,rolling,13.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	daA1600-60um (S-Mount)	area,EV76C570,e2v,,,9.0,"1/1.8""",,1600.0,1200.0,4.5,4.5,,60.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	MED ace 2.3 MP 41 color	area,IMX249,Sony,,,13.39,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,41.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA640-300gc	area,PYTHON 300,onsemi,,,3.84,"1/4""",,640.0,480.0,4.8,4.8,global,376.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A3840-45umPRO	area,IMX334,Sony,,,8.82,"1/1.8""",8.3,3840.0,2160.0,2.0,2.0,rolling,45.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	daA1440-220um (CS-Mount)	area,IMX273,Sony,,,6.21,"1/2.9""",,1440.0,1080.0,3.45,3.45,global,227.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA2040-25gm	area,CMV4000,ams,,,15.92,"1""",4.0,2048.0,2048.0,5.5,5.5,global,25.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	boA4096-93cm	area,IMX255,Sony,,,15.97,"1""",9.0,4096.0,2168.0,3.45,3.45,global,93.0,,Visible,,,,"C-mount, F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,480,80,80,45
Basler	acA1440-73gc	area,IMX273,Sony,,,6.21,"1/2.9""",1.6,1440.0,1080.0,3.45,3.45,global,73.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4508-20ucBAS	area,GMAX2518,Gpixel,,,15.23,"1""",18.4,4508.0,4096.0,2.5,2.5,global,20.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	daA1920-160uc (CS-Mount)	area,IMX392,Sony,,,7.77,"1/2.3""",,1920.0,1200.0,3.45,3.45,global,160.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	daA2500-60mci (No-Mount) - Tray (40pcs)	area,AR0521,onsemi,,,7.13,"1/2.5""",5.0,2560.0,1920.0,2.2,2.2,rolling,60.0,,Visible,,,,No Mount,BCON for MIPI,,,CMOS,5,27,27,5.3
Basler	a2A1920-51gmBAS	area,IMX392,Sony,,,7.77,"1/2.3""",2.3,1920.0,1200.0,3.45,3.45,global,51.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	boA8100-16cm	area,XGS 45000,onsemi,,,31.45,,44.7,8192.0,5460.0,3.2,3.2,global,19.0,,Visible,,,,"F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,525,80,80,49.1
Basler	acA2440-20gc	area,IMX264,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,23.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	boA9344-70cm	area,GMAX3265,Gpixel,,,37.36,"2.3""",65.0,9344.0,7000.0,3.2,3.2,global,70.0,,Visible,,,,,CoaXPress,,,CMOS,400,65,65,71
Basler	daA1920-15um (No-Mount)	area,MT9P031,onsemi,,,4.84,"1/3.7""",2.0,1920.0,1080.0,2.2,2.2,rolling,15.0,,Visible,,,,No Mount,USB3,,,CMOS,5,27,27,7.2
Basler	daA2448-70uc (S-Mount)	area,IMX548,Sony,,,8.75,"1/1.8""",,2448.0,2048.0,2.74,2.74,global,72.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA2500-14gm (CS-Mount)	area,MT9P031,onsemi,,,7.13,"1/2.5""",5.0,2592.0,1944.0,2.2,2.2,rolling,14.0,,Visible,,,,CS-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4200-12gmBAS	area,GMAX2509,Gpixel,,,11.83,"2/3""",9.1,4200.0,2160.0,2.5,2.5,global,12.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	daA4200-30mci (S-Mount) - Tray (40pcs)	area,AR1335,onsemi,,,5.76,"1/3""",13.0,4208.0,3120.0,1.1,1.1,rolling,30.0,,Visible,,,,S-mount,BCON for MIPI,,,CMOS,9,29,29,17.5
Basler	daA2500-60mci (S-Mount) - Tray (40pcs)	area,AR0521,onsemi,,,7.13,"1/2.5""",5.0,2560.0,1920.0,2.2,2.2,rolling,60.0,,Visible,,,,S-mount,BCON for MIPI,,,CMOS,9,29,29,17.5
Basler	acA1300-200uc	area,PYTHON 1300,onsemi,,,7.87,"1/2""",1.3,1280.0,1024.0,4.8,4.8,global,203.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A4096-30umBAS	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,30.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	acA4096-11gm	area,IMX267,Sony,,,15.97,"1""",9.0,4096.0,2160.0,3.45,3.45,global,12.0,,Visible,,,,C-mount,GigE,,,CMOS,150,40,30,50
Basler	daA2448-70uc (No-Mount)	area,IMX548,Sony,,,8.75,"1/1.8""",,2448.0,2048.0,2.74,2.74,global,72.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	daA2448-70um (No-Mount)	area,IMX548,Sony,,,8.75,"1/1.8""",,2448.0,2048.0,2.74,2.74,global,72.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	MED ace 5.1 MP 75 color	area,IMX250,Sony,,,11.02,"2/3""",5.0,2448.0,2048.0,3.45,3.45,global,75.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA2040-180kmNIR	area,CMV4000,ams,,NIR-enhanced,15.92,"1""",4.0,2048.0,2048.0,5.5,5.5,global,180.0,,"Visible, NIR",,,,C-mount,Camera Link,,,CMOS,100,29,29,43.5
Basler	daA1920-30uc (S-Mount)	area,MT9P031,onsemi,,,4.84,"1/3.7""",,1920.0,1080.0,2.2,2.2,rolling,30.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	a2A5320-23umPRO	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,23.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	acA4024-29uc	area,IMX226,Sony,,,9.32,"1/1.7""",12.2,4024.0,3036.0,1.85,1.85,rolling,31.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A4504-18ucBAS	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,18.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	acA1920-40gc	area,IMX249,Sony,,,13.39,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,42.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	MED ace 2.3 MP 164 mono	area,IMX174,Sony,,,13.39,"1/1.2""",2.3,1920.0,1200.0,5.86,5.86,global,164.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA4112-30uc	area,IMX253,Sony,,,17.52,"1.1""",12.0,4096.0,3000.0,3.45,3.45,global,30.0,,Visible,,,,C-mount,USB3,,,CMOS,136,40,30,35.8
Basler	MED ace 6.4 MP 59 color	area,IMX178,Sony,,,8.91,"1/1.8""",6.0,3088.0,2064.0,2.4,2.4,rolling,59.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA4096-40uc	area,IMX255,Sony,,,15.97,"1""",9.0,4096.0,2168.0,3.45,3.45,global,42.0,,Visible,,,,C-mount,USB3,,,CMOS,136,40,30,35.8
Basler	daA720-520um (S-Mount)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,523.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA2500-14uc (CS-Mount)	area,MT9P031,onsemi,,,7.13,"1/2.5""",5.0,2590.0,1942.0,2.2,2.2,rolling,14.0,,Visible,,,,CS-mount,USB3,,,CMOS,80,29,29,29.3
Basler	boA2448-250cc	area,IMX537,Sony,,,8.73,"1/1.8""",5.0,2448.0,2048.0,2.74,2.74,global,250.0,,Visible,,,,"C-mount, F-mount, M42x0.75, M42x1",CoaXPress,,,CMOS,525,80,80,45
Basler	acA3800-10gc	area,MT9J003,onsemi,,,7.93,"1/2.3""",10.0,3840.0,2748.0,1.67,1.67,rolling,10.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	acA2040-90uc	area,CMV4000,ams,,,15.92,"1""",4.0,2048.0,2048.0,5.5,5.5,global,90.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	alA640-300gm	area,PYTHON 300,onsemi,,,3.84,"1/4""",,640.0,480.0,4.8,4.8,global,340.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	daA1440-220um (S-Mount)	area,IMX273,Sony,,,6.21,"1/2.9""",,1440.0,1080.0,3.45,3.45,global,227.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
Basler	acA2500-60um	area,PYTHON 5000,onsemi,,,15.86,"1""",5.0,2590.0,2048.0,4.8,4.8,global,60.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	acA1920-48gm	area,PYTHON 2000,onsemi,,,10.87,"2/3""",2.3,1920.0,1200.0,4.8,4.8,global,50.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	acA800-200gc	area,PYTHON 500,onsemi,,,4.8,"1/3.6""",0.48,800.0,600.0,4.8,4.8,global,240.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A4504-18ucPRO	area,IMX541,Sony,,,17.45,"1.1""",20.2,4504.0,4504.0,2.74,2.74,global,18.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	daA1280-54um (No-Mount)	area,AR0134,onsemi,,,6.0,"1/3""",,1280.0,960.0,3.75,3.75,global,54.0,,Visible,,,,,USB3,,,CMOS,5,27,27,7.2
Basler	a2A2840-67g5cBAS	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,67.0,,Visible,,,,C-mount,5GigE,,,CMOS,100,29,29,55.5
Basler	a2A2840-14gcBAS	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,14.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	acA2000-50gm	area,CMV2000,ams,,,12.75,"2/3""",2.0,2048.0,1088.0,5.5,5.5,global,50.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	daA720-520um (No-Mount)	area,IMX287,Sony,,,6.21,"1/2.9""",,720.0,540.0,6.9,6.9,global,523.0,,Visible,,,,,USB3,,,CMOS,5,27,27,8
Basler	acA1300-60gc	area,EV76C560,e2v,,,8.68,"1/1.8""",1.3,1280.0,1024.0,5.3,5.3,"global, rolling",60.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A1280-80gmSWIR	area,IMX990,Sony,,,8.18,"1/2""",1.3,1280.0,1024.0,5.0,5.0,global,80.0,,"Visible, SWIR",,,,C-mount,GigE,,,InGaAs,100,29,29,55.5
Basler	acA2500-60uc	area,PYTHON 5000,onsemi,,,15.86,"1""",5.0,2590.0,2048.0,4.8,4.8,global,60.0,,Visible,,,,C-mount,USB3,,,CMOS,80,29,29,29.3
Basler	a2A4096-9gmBAS	area,IMX545,Sony,,,13.91,"1/1.1""",12.3,4096.0,3000.0,2.74,2.74,global,9.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A5320-23ucBAS	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,23.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	a2A2840-48ucPRO	area,IMX546,Sony,,,11.0,"2/3""",8.0,2840.0,2840.0,2.74,2.74,global,48.0,,Visible,,,,C-mount,USB3,,,CMOS,90,29,29,42.8
Basler	acA640-300gm	area,PYTHON 300,onsemi,,,3.84,"1/4""",,640.0,480.0,4.8,4.8,global,376.0,,Visible,,,,C-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A2600-64ucBAS	area,GMAX2505,Gpixel,,,8.48,"1/2""",5.6,2600.0,2160.0,2.5,2.5,global,64.0,,Visible,,,,C-mount,USB3,,,CMOS,85,29,29,42.8
Basler	acA1300-60gm (CS-Mount)	area,EV76C560,e2v,,,8.68,"1/1.8""",1.3,1282.0,1026.0,5.3,5.3,"global, rolling",60.0,,Visible,,,,CS-mount,GigE,,,CMOS,90,29,29,42
Basler	a2A2600-20gmBAS	area,GMAX2505,Gpixel,,,8.48,"1/2""",5.6,2600.0,2160.0,2.5,2.5,global,20.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	a2A5320-7gcPRO	area,IMX542,Sony,,,16.78,"1.1""",16.1,5320.0,3032.0,2.74,2.74,global,7.0,,Visible,,,,C-mount,GigE,,,CMOS,105,29,29,55.5
Basler	a2A2600-20gcPRO	area,GMAX2505,Gpixel,,,8.48,"1/2""",5.6,2600.0,2160.0,2.5,2.5,global,20.0,,Visible,,,,C-mount,GigE,,,CMOS,100,29,29,55.5
Basler	daA1920-30um (S-Mount)	area,MT9P031,onsemi,,,4.84,"1/3.7""",,1920.0,1080.0,2.2,2.2,rolling,30.0,,Visible,,,,,USB3,,,CMOS,15,29.3,29,19.9
