brand,lens_type,raw_category,target_key,model,_source_url,_table_index,Type [standard],ID [standard],Interface,Focal length [mm],Image space numerical aperture range,Numerical aperture [object | image],Max. sensor size [mm],Max. angle of view [°],Rec. magnification,Rec. working distance range [mm],Max. mechanical focus travel [mm],Filter thread [mm],Storage temperature [°C],Net. weight [standard] [g],Additional info,f'eff [mm],SF [mm],S'F' [mm],HH' [mm],ß'P,SEP [mm],S'AP [mm],Σd [mm],Former lens name
Schneider-Kreuznach,telecentric,Telecentric Lenses (SYLVINE),schneider_telecentric,SYLVINE 0.03/0.2x C-Mount telecentric lens,https://schneiderkreuznach.com/en/industrial-optics/lenses/telecentric-lenses/sylvine/0-03-0-2x-c,merged_kv,C,35854,C-Mount,∞,0.13 ... 0.04,0.03 | 0.13,11,0 (telecentric),-0.20,269 (194 ... 344),+/- 3,M77 x 0.75,-25 … +70,2600,telecentric object and image space,10811,53773,-2120,-77256,7.71,55175,-85482,258.55,Xenoplan 1:5/0.13/11
Schneider-Kreuznach,telecentric,Telecentric Lenses (SYLVINE),schneider_telecentric,SYLVINE 0.03/0.25x C-Mount telecentric lens,https://schneiderkreuznach.com/en/industrial-optics/lenses/telecentric-lenses/sylvine/0-03-0-25x-c,merged_kv,C,35853,C-Mount,∞,0.13 ... 0.05,0.03 | 0.13,11,0 (telecentric),-0.25,176 (128 ... 224),+/- 3,M62 x 0.75,-25 … +70,2000,telecentric object and image space,-91861,∞,23054,-∞,∞,-406003,∞,218.24,Xenoplan 1:4/0.13/11
Schneider-Kreuznach,telecentric,Telecentric Lenses (SYLVINE),schneider_telecentric,SYLVINE 0.05/0.33x C-Mount telecentric lens,https://schneiderkreuznach.com/en/industrial-optics/lenses/telecentric-lenses/sylvine/0-05-0-33x-c,merged_kv,C,35852,C-Mount,∞,0.14 ... 0.06,0.05 | 0.14,11,0 (telecentric),-0.33,161 (134 ... 188),+/- 3,M58 x 0.75,-25 … +70,1600,telecentric object and image space,-10352,-31111,3516,55517,∞,-31567,∞,185.13,Xenoplan 1:3/0.14/11
Schneider-Kreuznach,telecentric,Telecentric Lenses (SYLVINE),schneider_telecentric,SYLVINE 0.07/0.5x C-Mount telecentric lens,https://schneiderkreuznach.com/en/industrial-optics/lenses/telecentric-lenses/sylvine/0-07-0-5x-c,merged_kv,C,35851,C-Mount,∞,0.13 ... 0.06,0.07 | 0.13,11,0 (telecentric),-0.50,195 (183 ... 207),+/- 3,M58 x 0.75,-25 … +70,2150,telecentric object and image space,-20949,-42097,10548,94748,1.58,-31566,-31127,204.04,Xenoplan 1:2/0.14/11
Schneider-Kreuznach,telecentric,Telecentric Lenses (SYLVINE),schneider_telecentric,SYLVINE 0.14/1.0x C-Mount telecentric lens,https://schneiderkreuznach.com/en/industrial-optics/lenses/telecentric-lenses/sylvine/0-14-1-0x-c,merged_kv,C,35850,C-Mount,∞,0.14 ... 0.06,0.14 | 0.14,11,0 (telecentric),-1.0,47 (44 ... 50),+/- 3,M58 x 0.75,-25 … +70,1490,telecentric object and image space,15600,15527,-15526,-62117,1.00,31127,-31126,136.98,Xenoplan 1:1/0.14/11
