brand,lens_type,raw_category,target_key,model,_source_url,_table_index,FOV (Φmm),Mag. β  (x),WD (mm),Max. Sensor Format (Φmm),Aperture  (F/#),MTF30  (lp/mm),DoF  (mm),Distortion  (% max),Telecentricity  (°max),I/O  (mm),Length  (mm),Mount,Weight  (kg),Iris Adjustable,With Coaxial Port,BFL Adjustable
Vico,linescan_telecentric,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),vico_linescan_telecentric,DTCA230-22L,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_row_1,22,0.5,65±1,"11.0(2/3"")",5,>160,±0.8@F5.0,<0.1,<0.1,189±1,106.7,C,0.2,NO,NO,NO
Vico,linescan_telecentric,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),vico_linescan_telecentric,DTCA230-22C,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_row_2,22,0.5,65±1,"11.0(2/3"")",5,>160,±0.8@F5.0,<0.1,<0.1,189±1,106.7,C,0.2,NO,YES,NO
Vico,linescan_telecentric,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),vico_linescan_telecentric,DTCA230-27.5,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_row_3,27.5,0.4,85±2,"11.0(2/3"")",4.5,>205,±1.1@F4.5,<0.03,<0.1,245±2,142.4,C,0.3,NO,NO,NO
Vico,linescan_telecentric,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),vico_linescan_telecentric,DTCA230-27.5C,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_row_4,27.5,0.4,85±2,"11.0(2/3"")",4.5,>205,±1.1@F4.5,<0.03,<0.1,245±2,142.4,C,0.3,NO,YES,NO
Vico,linescan_telecentric,Ultra Resolution Bi-Telecentric Lenses (DTCA/라인스캔),vico_linescan_telecentric,DTCA230-37,https://vicoimaging.com/product-category/ultra-resolution-bi-telecentric-lenses/,vico_row_5,37,0.3,110±2,"11.0(2/3"")",3.75,>220,±1.7@F3.75,<0.1,<0.1,273±2,145.5,C,0.4,YES,NO,NO
