brand,lens_type,raw_category,target_key,model,_source_url,_table_index,Magnification β(x),Working Distance(mm),Maximum Sensor Format(Φmm),Aperture (F/#),Numerical Aperture,Resolution(μm),Depth of Field(mm),Distortion (% max),Telecentricity(°max),Length(mm),Lens Mount,With Coaxial Port
Vico,telecentric,C-Mount High Resolution Telecentric Lenses,vico_cmount_telecentric,WWH075-63ATV3,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_row_1,0.75,63±1,"11.0(2/3"")",6,0.0625,5.4,0.9,0.05,0.22,96.2,C,NO
Vico,telecentric,C-Mount High Resolution Telecentric Lenses,vico_cmount_telecentric,WWH075-63CTLV3,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_row_2,0.75,63±1,"11.0(2/3"")",6,0.06,5.4,0.9,0.05,0.22,96.4,C,YES
Vico,telecentric,C-Mount High Resolution Telecentric Lenses,vico_cmount_telecentric,WWH10-63ATV3,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_row_3,1,63±1,"11.0(2/3"")",8,0.0625,5.4,0.6,0.07,0.1,101.3,C,NO
Vico,telecentric,C-Mount High Resolution Telecentric Lenses,vico_cmount_telecentric,WWH10-63CTLV3,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_row_4,1,63±1,"11.0(2/3"")",8,0.0625,5.4,0.6,0.07,0.1,101.3,C,YES
Vico,telecentric,C-Mount High Resolution Telecentric Lenses,vico_cmount_telecentric,WWH15-63ATV3,https://vicoimaging.com/product-category/c-mount-high-resolution-telecentric-lenses/,vico_row_5,1.5,63±1,"11.0(2/3"")",7.5,0.1,3.4,0.3,0.04,0.03,111.0,C,NO
